year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,1,6,3:58.699,0.000,0.000,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,2,77,3:59.394,0.695,0.695,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,3,7,4:00.563,1.864,1.864,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,4,5,4:01.857,3.158,3.158,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,5,31,4:03.075,4.376,4.376,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,6,10,4:08.852,10.153,10.153,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,7,55,4:09.454,10.755,10.755,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,8,84,4:10.292,11.593,11.593,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,9,85,4:12.699,14.000,14.000,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,10,50,4:13.891,15.192,15.192,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,11,54,4:18.409,19.710,19.710,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,12,52,4:19.902,21.203,21.203,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,13,38,4:21.010,22.311,22.311,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,14,911,4:22.733,24.034,24.034,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,15,3,4:24.074,25.375,25.375,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,16,67,4:26.096,27.397,27.397,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,17,4,4:28.042,29.343,29.343,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,18,24,4:29.426,30.727,30.727,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,19,25,4:31.069,32.370,32.370,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,20,66,4:32.360,33.661,33.661,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,21,912,4:33.239,34.540,34.540,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,22,86,4:34.213,35.514,35.514,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,23,96,4:35.763,37.064,37.064,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,24,9,4:36.900,38.201,38.201,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,25,11,4:38.793,40.094,40.094,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,26,57,4:39.962,41.263,41.263,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,27,63,4:41.459,42.760,42.760,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,28,12,4:42.888,44.189,44.189,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,29,33,4:43.471,44.772,44.772,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,30,29,4:45.305,46.606,46.606,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,31,8,4:47.178,48.479,48.479,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,32,48,4:50.531,51.832,51.832,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,33,71,4:52.269,53.570,53.570,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,34,73,4:53.174,54.475,54.475,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,35,14,4:55.877,57.178,57.178,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,36,44,4:56.909,58.210,58.210,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,37,19,4:58.133,59.434,59.434,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,1,1,38,47,5:02.154,1:03.455,63.455,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,1,6,3:44.262,,,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,2,77,3:44.446,0.879,0.879,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,3,7,3:43.924,1.526,1.526,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,4,5,3:43.804,2.700,2.700,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,5,31,3:44.808,4.922,4.922,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,6,55,3:43.646,10.139,10.139,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,7,10,3:46.149,12.040,12.040,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,8,84,3:45.029,12.360,12.360,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,9,85,3:46.334,16.072,16.072,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,10,50,3:47.177,18.107,18.107,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,11,54,3:45.527,20.975,20.975,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,12,52,3:44.859,21.800,21.800,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,13,38,3:44.977,23.026,23.026,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,14,911,3:44.357,24.129,24.129,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,15,3,3:48.103,29.216,29.216,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,16,67,3:47.446,30.581,30.581,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,17,4,3:46.988,32.069,32.069,,1,1
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,18,24,3:46.898,33.363,33.363,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,19,25,3:46.988,35.096,35.096,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,20,66,3:47.468,36.867,36.867,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,21,912,3:48.020,38.298,38.298,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,22,86,3:48.230,39.482,39.482,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,23,96,3:48.155,40.957,40.957,,1,2
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,2,2,24,9,3:48.296,42.235,42.235,,1,2
