year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,1,1,Jan Magnussen,1:46.123,23.352,43.466,39.305,110.914,1:46.123,,,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,2,1,Jan Magnussen,1:43.602,21.452,43.091,39.059,113.648,3:29.725,103602,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,3,1,Jan Magnussen,1:42.074,21.129,42.250,38.695,115.326,5:11.799,102074,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,4,1,Jan Magnussen,1:42.117,21.064,42.368,38.685,115.264,6:53.916,102117,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,5,1,Jan Magnussen,1:41.772,20.979,42.133,38.660,115.699,8:35.688,101772,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,6,1,Jan Magnussen,1:41.723,20.936,42.124,38.663,115.699,10:17.411,101723,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,7,1,Jan Magnussen,1:41.506,20.985,42.098,38.423,115.947,11:58.917,101506,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,8,1,Jan Magnussen,1:41.439,20.905,42.118,38.416,116.072,13:40.356,101439,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,9,1,Jan Magnussen,1:41.770,21.034,42.197,38.539,115.699,15:22.126,101770,0,0,1
2019,15_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2019-08-25,201908251335_Race,3,10,1,Jan Magnussen,1:41.903,20.944,42.436,38.523,115.512,17:04.029,101903,0,0,1
