year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,1,77,2:08.813,0.000,0.000,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,2,7,2:10.674,1.861,1.861,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,3,55,2:11.466,2.653,2.653,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,4,10,2:12.228,3.415,3.415,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,5,31,2:15.740,6.927,6.927,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,6,5,2:16.816,8.003,8.003,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,7,84,2:17.678,8.865,8.865,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,8,85,2:19.433,10.620,10.620,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,9,54,2:21.729,12.916,12.916,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,10,50,2:23.048,14.235,14.235,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,11,52,2:23.641,14.828,14.828,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,12,38,2:24.294,15.481,15.481,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,13,67,2:31.604,22.791,22.791,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,14,24,2:32.713,23.900,23.900,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,15,3,2:33.296,24.483,24.483,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,16,912,2:34.359,25.546,25.546,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,17,25,2:35.303,26.490,26.490,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,18,66,2:36.977,28.164,28.164,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,19,911,2:37.893,29.080,29.080,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,20,86,2:38.321,29.508,29.508,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,21,96,2:39.251,30.438,30.438,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,22,57,2:40.146,31.333,31.333,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,23,63,2:41.035,32.222,32.222,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,24,29,2:41.849,33.036,33.036,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,25,14,2:46.132,37.319,37.319,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,26,47,2:46.983,38.170,38.170,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,27,540,2:48.047,39.234,39.234,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,28,8,2:51.758,42.945,42.945,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,29,44,2:52.578,43.765,43.765,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,30,73,2:53.289,44.476,44.476,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,31,6,2:54.539,45.726,45.726,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,32,12,2:56.761,47.948,47.948,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,33,9,3:35.270,1:26.457,86.457,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,1,1,34,48,4:02.420,1:53.607,113.607,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,1,77,3:26.223,,,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,2,7,3:25.500,1.138,1.138,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,3,55,3:25.285,1.715,1.715,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,4,10,3:25.924,3.116,3.116,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,5,31,3:24.145,4.849,4.849,,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,2,2,6,5,3:24.961,6.741,6.741,,1,1
