year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Mike Conway,Filipe Albuquerque,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa 3.Filipe Albuquerque | 2.Mike Conway
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,6,DPi,Acura Team Penske,Acura,Juan Pablo Montoya,Dane Cameron,,,,Acura Team Penske Acura DPi | DPi | 1.Juan Pablo Montoya | 2.Dane Cameron
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,7,DPi,Acura Team Penske,Acura,Ricky Taylor,Helio Castroneves,,,,Acura Team Penske Acura DPi | DPi | 1.Ricky Taylor | 2.Helio Castroneves
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,8,GTD,Starworks Motorsport,Audi R8 LMS GT3,Parker Chase,Ryan Dalziel,Mike Skeen,,,Starworks Motorsport Audi R8 LMS GT3 | GTD | 1.Parker Chase 3.Mike Skeen | 2.Ryan Dalziel
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Scott Hargrove,Zacharie Robichon,Lars Kern,,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Scott Hargrove 3.Lars Kern | 2.Zacharie Robichon
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande | 2.Jordan Taylor
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,Aaron Telitz,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo 3.Aaron Telitz | 2.Townsend Bell
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,Philipp Frommenwiler,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand 3.Philipp Frommenwiler | 2.Jack Hawksworth
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Tom Blomqvist,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Tom Blomqvist | 2.Connor De Phillippi
