year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,10:54:36.466,A. Garcia,10:55:41.284,J. Magnussen,1:04.818,1:04.818,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,11:28:24.559,J. Magnussen,11:29:20.461,J. Magnussen,55.902,2:00.720,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,12:34:28.824,J. Magnussen,12:35:38.809,J. Magnussen,1:09.985,3:10.705,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,4,13:04:55.958,J. Magnussen,13:05:49.938,A. Garcia,53.980,4:04.685,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,5,14:02:27.997,A. Garcia,14:03:33.604,A. Garcia,1:05.607,5:10.292,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,6,14:20:41.597,A. Garcia,14:21:29.969,A. Garcia,48.372,5:58.664,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,7,14:31:00.903,A. Garcia,14:31:39.130,A. Garcia,38.227,6:36.891,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,8,14:57:18.540,A. Garcia,14:58:01.655,A. Garcia,43.115,7:20.006,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,1,10:03:02.134,F. Albuquerque,10:03:59.573,F. Albuquerque,57.439,57.439,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,2,10:41:08.022,F. Albuquerque,10:42:10.001,F. Albuquerque,1:01.979,1:59.418,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,3,11:15:00.400,F. Albuquerque,11:16:03.387,M. Conway,1:02.987,3:02.405,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,4,11:28:37.974,M. Conway,11:29:23.846,M. Conway,45.872,3:48.277,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,5,12:10:29.351,M. Conway,12:11:32.151,M. Conway,1:02.800,4:51.077,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,6,12:44:09.782,M. Conway,12:45:12.708,J. Barbosa,1:02.926,5:54.003,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,7,13:18:28.529,J. Barbosa,13:19:31.060,J. Barbosa,1:02.531,6:56.534,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,8,13:52:27.713,J. Barbosa,13:53:28.264,F. Albuquerque,1:00.551,7:57.085,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,9,14:33:31.848,F. Albuquerque,14:34:24.812,F. Albuquerque,52.964,8:50.049,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,10,14:41:26.507,F. Albuquerque,14:41:56.928,F. Albuquerque,30.421,9:20.470,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,11,15:00:32.801,F. Albuquerque,15:01:36.672,M. Conway,1:03.871,10:24.341,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,5,8 A. Garcia A. Garcia 43.115 7:20.006 | Mustang Sampling Racing | Cadillac DPi DPi,12,15:20:09.950,M. Conway,15:20:56.245,M. Conway,46.295,11:10.636,20_Pit Stops Time Cards_Race.PDF,1,1
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,6,12 M. Conway M. Conway 46.295 11:10.636 | Acura Team Penske | Acura DPi DPi,1,09:45:38.763,D. Cameron,09:45:58.913,D. Cameron,20.150,20.150,20_Pit Stops Time Cards_Race.PDF,1,1
