year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,a7dabf999838451ba23199321c5aab2da03830e753e753273f935a2c0eeca326,403794,results,preferred,existing,reports-1,3,36,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,74dd2bae05cceaa14c70423d9770a19de0e0fb1c1b2b6018a15c0d203d2caded,403784,results,alternate,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,5dff7800264ece83bc44b56c9eb13591e45e64dc9ec01e22578c74f71474ecb9,342544,results,alternate,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,36797905196d5afed6d84fc5c909fdac8910f730061809daaf659cc19470a9e7,401038,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,518257e4d4c22ab7a344be8589aadbc2c8b8b8f6bbb1b42e140fcf2a47475a98,401027,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,f5bb0c96e2abece59e9fecc93228e36d112a9adc17145a4151c6cbd37093d84a,339375,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,aa95f726a83c7a6ac3f95b2c94f056aabf8752fd5213715708720194c4d916a5,324538,fastest_laps_by_driver,preferred,existing,reports-1,3,99,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,ea5df907642d80092af00da2dd224c72a066f333563a309422994b2acb4b92f2,317962,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,945071d624e958fca7e7fc09568e5cb0fa32765c142624b92bac289277893ab9,417424,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,75204f7dd5447c194a462805e1ddfc2727cd25f8728c2c930f810739f7f79641,761008,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,13_Best Sector Times_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/13_Best%20Sector%20Times_Race.PDF,pdfs/13_Best Sector Times_Race.PDF,c352ed9e2784b51a1e6b6e9027d9235c0b1d1552f0b68e3259b57c5dc3c85ff2,171253,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,14_BestTopSpeed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/14_BestTopSpeed_Race.PDF,pdfs/14_BestTopSpeed_Race.PDF,7a606dd06f22966f984a137a98fcf34a944a5274b4b13b4313300f47afa64559,120255,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,15_Event Maximum Speed By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/15_Event%20Maximum%20Speed%20By%20Driver_Race.PDF,pdfs/15_Event Maximum Speed By Driver_Race.PDF,c01a2825146a3c93f8987e71c16ea47465d85a17a14b5d70b5c44a056044377f,217783,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,15_Event Maximum Speed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/15_Event%20Maximum%20Speed_Race.PDF,pdfs/15_Event Maximum Speed_Race.PDF,583b08457c856a30259ec3910b157c5bea0f159fa7d1261e0454a1c60255bdb8,119248,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,15_LeaderSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/15_LeaderSequence_Race.PDF,pdfs/15_LeaderSequence_Race.PDF,04139f82c3fac92acf5842d47820176893540a4cf7e0789143ccb7d6275314e6,209144,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,16_Average Distance And Speed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/16_Average%20Distance%20And%20Speed_Race.PDF,pdfs/16_Average Distance And Speed_Race.PDF,eae1848844b0049540e1438aec402b25f7f82ef86894c96655e3ccc57fbc5ce9,124958,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,17_FastestLapSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/17_FastestLapSequence_Race.PDF,pdfs/17_FastestLapSequence_Race.PDF,41775eae72fdb704f81a41b204c1f01effb0b5f7269a4987294948b9ffaa68c0,116486,,unsupported,existing,,,,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,19_AnalysisByLap_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/19_AnalysisByLap_Race.PDF,pdfs/19_AnalysisByLap_Race.PDF,525bd73b7af33ac7bd03a7ca7afe04c6292670e91ebfe3116a4605a023eda18b,2489870,analysis_by_lap,preferred,existing,1,23,6301,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,20_Drive Time_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/20_Drive%20Time_Race.PDF,pdfs/20_Drive Time_Race.PDF,4e270e6fb1ba4baa3b2f5b72003e71e909300a12d15d9d89a48058cba7297030,371132,drive_time,preferred,existing,reports-1,8,588,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,20_Pit Stops Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/20_Pit%20Stops%20Time%20Cards_Race.PDF,pdfs/20_Pit Stops Time Cards_Race.PDF,476e0e766ca613aa1523f09c629d82cdd4dab1bbbafe08b0214d88441d695b99,435132,pit_stops,preferred,existing,reports-1,4,275,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,23_Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/23_Time%20Cards_Race.PDF,pdfs/23_Time Cards_Race.PDF,d47ea782e2fe9457eab87687223ef319b900e64a4ab48d2218daae4bf04f7996,5664254,time_cards,preferred,existing,1,55,6301,
2019,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2019-06-30,201906300945_Race,26_Weather_Race.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/10_Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/201906300945_Race/06_Hour%206/26_Weather_Race.PDF,pdfs/26_Weather_Race.PDF,d27b558427ff0f77dc6d23c461bcc1328592c301100f1a1e2211d2cac3a58bc5,149019,,unsupported,existing,,,,
