year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,12:35:52.337,J. Magnussen,12:36:38.355,A. Garcia,46.018,46.018,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:18:35.528,A. Garcia,13:19:19.396,A. Garcia,43.868,1:29.886,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,14:01:20.317,A. Garcia,14:02:08.193,A. Garcia,47.876,2:17.762,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,4,3 A. Garcia A. Garcia 47.876 2:17.762 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,12:37:17.612,O. Gavin,12:38:04.836,T. Milner,47.224,47.224,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,4,3 A. Garcia A. Garcia 47.876 2:17.762 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:21:36.515,T. Milner,13:22:22.013,T. Milner,45.498,1:32.722,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,4,3 A. Garcia A. Garcia 47.876 2:17.762 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,14:04:14.009,T. Milner,14:05:02.160,T. Milner,48.151,2:20.873,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,5,3 T. Milner T. Milner 48.151 2:20.873 | Mustang Sampling Racing | Cadillac DPi DPi,1,12:37:43.307,F. Albuquerque,12:38:35.598,F. Albuquerque,52.291,52.291,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,5,3 T. Milner T. Milner 48.151 2:20.873 | Mustang Sampling Racing | Cadillac DPi DPi,2,13:16:25.971,F. Albuquerque,13:17:21.406,J. Barbosa,55.435,1:47.726,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,5,3 T. Milner T. Milner 48.151 2:20.873 | Mustang Sampling Racing | Cadillac DPi DPi,3,14:00:48.365,J. Barbosa,14:01:48.552,J. Barbosa,1:00.187,2:47.913,20_Pit Stops Time Cards_Race.PDF,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,6,3 J. Barbosa J. Barbosa 1:00.187 2:47.913 | Acura Team Penske | Acura DPi DPi,1,12:37:30.612,J. Montoya,12:38:23.024,D. Cameron,52.412,52.412,20_Pit Stops Time Cards_Race.PDF,1,1
