year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,1,1,Jan Magnussen,1:30.910,36.323,34.642,19.945,88.607,1:30.910,,,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,2,1,Jan Magnussen,1:24.038,31.544,32.959,19.535,95.877,2:54.948,84038,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,3,1,Jan Magnussen,1:23.590,31.360,32.639,19.591,96.374,4:18.538,83590,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,4,1,Jan Magnussen,1:24.259,31.621,32.859,19.779,95.628,5:42.797,84259,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,5,1,Jan Magnussen,1:23.481,31.388,32.427,19.666,96.498,7:06.278,83481,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,6,1,Jan Magnussen,1:23.587,31.444,32.593,19.550,96.374,8:29.865,83587,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,7,1,Jan Magnussen,1:23.953,31.553,32.702,19.698,95.939,9:53.818,83953,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,8,1,Jan Magnussen,1:23.894,31.627,32.514,19.753,96.063,11:17.712,83894,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,9,1,Jan Magnussen,1:23.750,31.455,32.510,19.785,96.188,12:41.462,83750,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,10,1,Jan Magnussen,1:23.808,31.461,32.522,19.825,96.126,14:05.270,83808,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,11,1,Jan Magnussen,1:24.010,31.619,32.736,19.655,95.877,15:29.280,84010,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,12,1,Jan Magnussen,1:24.330,31.619,32.621,20.090,95.566,16:53.610,84330,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,13,1,Jan Magnussen,1:24.616,31.746,33.033,19.837,95.194,18:18.226,84616,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,14,1,Jan Magnussen,1:25.634,32.743,33.049,19.842,94.075,19:43.860,85634,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,15,1,Jan Magnussen,1:24.763,31.930,32.740,20.093,95.069,21:08.623,84763,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,16,1,Jan Magnussen,1:24.112,31.738,32.637,19.737,95.815,22:32.735,84112,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,17,1,Jan Magnussen,1:24.488,31.817,32.796,19.875,95.380,23:57.223,84488,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,18,1,Jan Magnussen,1:24.681,31.873,32.946,19.862,95.131,25:21.904,84681,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,19,1,Jan Magnussen,1:24.536,31.868,32.657,20.011,95.318,26:46.440,84536,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,20,1,Jan Magnussen,1:26.134,32.523,33.669,19.942,93.516,28:12.574,86134,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,21,1,Jan Magnussen,1:25.774,32.572,33.223,19.979,93.951,29:38.348,85774,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,22,1,Jan Magnussen,1:59.859,32.105,33.259,54.495,67.232,31:38.207,119859,0,1,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,23,2,Antonio Garcia,1:35.196,40.969,34.205,20.022,84.630,33:13.403,95196,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,24,2,Antonio Garcia,1:24.270,31.610,32.864,19.796,95.628,34:37.673,84270,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,25,2,Antonio Garcia,1:23.941,31.388,32.763,19.790,96.001,36:01.614,83941,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,26,2,Antonio Garcia,1:23.712,31.333,32.687,19.692,96.250,37:25.326,83712,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,27,2,Antonio Garcia,1:23.555,31.242,32.679,19.634,96.436,38:48.881,83555,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,28,2,Antonio Garcia,1:23.691,31.218,32.665,19.808,96.250,40:12.572,83691,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,29,2,Antonio Garcia,1:23.384,31.149,32.532,19.703,96.623,41:35.956,83384,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,30,2,Antonio Garcia,1:24.267,31.664,32.486,20.117,95.628,43:00.223,84267,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,31,2,Antonio Garcia,1:24.673,32.143,32.827,19.703,95.131,44:24.896,84673,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,32,2,Antonio Garcia,1:23.499,31.327,32.490,19.682,96.498,45:48.395,83499,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,33,2,Antonio Garcia,1:23.383,31.200,32.447,19.736,96.623,47:11.778,83383,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,34,2,Antonio Garcia,1:24.163,31.695,32.479,19.989,95.753,48:35.941,84163,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,35,2,Antonio Garcia,1:24.284,31.849,32.745,19.690,95.566,50:00.225,84284,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,36,2,Antonio Garcia,1:23.322,31.229,32.466,19.627,96.685,51:23.547,83322,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,37,2,Antonio Garcia,1:23.826,31.121,32.850,19.855,96.126,52:47.373,83826,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,38,2,Antonio Garcia,1:23.353,31.121,32.493,19.739,96.685,54:10.726,83353,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,39,2,Antonio Garcia,1:24.514,31.260,33.355,19.899,95.318,55:35.240,84514,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,40,2,Antonio Garcia,1:23.693,31.245,32.852,19.596,96.250,56:58.933,83693,0,0,1
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,41,2,Antonio Garcia,1:23.090,31.131,32.352,19.607,96.933,58:22.023,83090,0,0,1
