year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,J. Taylor,21:05:46,21:25:50,TRACK,20:04.627,20:04.627,20:04.627,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,21:25:50,21:26:38,PIT,48.153,,48.153,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,A. Garcia,21:26:38,22:45:46,TRACK,1:19:07.220,1:19:07.220,1:19:07.220,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,J. Taylor 20:04.627 20:04.627 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,O. Gavin,21:05:46,21:25:51,TRACK,20:05.095,20:05.095,20:05.095,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,J. Taylor 20:04.627 20:04.627 | Corvette Racing | Chevrolet Corvette C8.R GTLM,,,21:25:51,21:26:42,PIT,51.817,,51.817,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,J. Taylor 20:04.627 20:04.627 | Corvette Racing | Chevrolet Corvette C8.R GTLM,2,T. Milner,21:26:42,22:32:05,TRACK,1:05:22.428,1:05:22.428,1:05:22.428,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,T. Milner | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,1,M. De Quesada,21:05:46,21:38:10,TRACK,32:24.624,32:24.624,32:24.624,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,T. Milner | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,,,21:38:10,21:39:05,PIT,54.999,,54.999,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,T. Milner | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,2,T. Bell,21:39:05,22:45:46,TRACK,1:06:40.377,1:06:40.377,1:06:40.377,20_Drive Time_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,14,M. De Quesada 32:24.624 32:24.624 | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,1,A. Telitz,21:05:46,21:38:00,TRACK,32:14.863,32:14.863,32:14.863,20_Drive Time_Race.PDF,1,1
