year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,21:25:50.629,J. Taylor,21:26:38.782,A. Garcia,48.153,48.153,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,1 J. Taylor A. Garcia 48.153 48.153 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,21:25:51.097,O. Gavin,21:26:42.914,T. Milner,51.817,51.817,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,1 O. Gavin T. Milner 51.817 51.817 | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,1,21:38:10.626,M. De Quesada,21:39:05.625,T. Bell,54.999,54.999,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,14,1 M. De Quesada T. Bell 54.999 54.999 | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,1,21:38:00.865,A. Telitz,21:39:07.867,J. Hawksworth,1:07.002,1:07.002,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,14,1 M. De Quesada T. Bell 54.999 54.999 | AIM VASSER SULLIVAN | Lexus RC F GT3 GTD,2,22:44:39.914,J. Hawksworth,22:45:05.292,J. Hawksworth,25.378,1:32.380,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,16,2 J. Hawksworth J. Hawksworth 25.378 1:32.380 | Wright Motorsports | Porsche 911 GT3R GTD,1,21:36:39.044,R. Hardwick,21:37:29.423,P. Long,50.379,50.379,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,23,1 R. Hardwick P. Long 50.379 50.379 | Heart Of Racing Team | Aston Martin Vantage GT3 GTD,1,21:36:40.888,I. James,21:37:34.047,R. De Angelis,53.159,53.159,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,24,1 I. James R. De Angelis 53.159 53.159 | BMW Team RLL | BMW M8 GTE GTLM,1,21:25:49.977,J. Krohn,21:26:36.517,J. Edwards,46.540,46.540,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,25,1 J. Krohn J. Edwards 46.540 46.540 | BMW Team RLL | BMW M8 GTE GTLM,1,21:25:51.736,B. Spengler,21:26:39.892,C. De Phillippi,48.156,48.156,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,30,1 B. Spengler C. De Phillippi 48.156 48.156 | Team Hardpoint | Audi R8 LMS GT3 GTD,1,21:38:31.734,R. Ferriol,21:39:28.757,S. Pumpelly,57.023,57.023,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,44,1 R. Ferriol S. Pumpelly 57.023 57.023 | GRT Magnus | Lamborghini Huracan GT3 GTD,1,21:36:48.500,J. Potter,21:37:44.741,A. Lally,56.241,56.241,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,44,1 R. Ferriol S. Pumpelly 57.023 57.023 | GRT Magnus | Lamborghini Huracan GT3 GTD,2,21:44:49.577,A. Lally,21:45:38.881,A. Lally,49.304,1:45.545,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,57,2 A. Lally A. Lally 49.304 1:45.545 | Heinricher Racing w/MSR Curb-Agajanian | Acura NSX GT3 GTD,1,21:36:44.598,M. Goikhberg,21:37:34.905,A. Parente,50.307,50.307,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,74,1 M. Goikhberg A. Parente 50.307 50.307 | Riley Motorsports | Mercedes-AMG GT3 GTD,1,21:38:14.714,G. Robinson,21:39:10.586,L. Aschenbach,55.872,55.872,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,74,1 M. Goikhberg A. Parente 50.307 50.307 | Riley Motorsports | Mercedes-AMG GT3 GTD,2,22:18:48.494,L. Aschenbach,22:19:36.827,L. Aschenbach,48.333,1:44.205,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,76,2 L. Aschenbach L. Aschenbach 48.333 1:44.205 | Compass Racing | McLaren 720S GT3 GTD,1,21:36:37.751,J. Kingsley,21:37:36.295,P. Holton,58.544,58.544,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,76,2 L. Aschenbach L. Aschenbach 48.333 1:44.205 | Compass Racing | McLaren 720S GT3 GTD,2,22:15:47.751,P. Holton,22:16:33.385,P. Holton,45.634,1:44.178,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,86,2 P. Holton P. Holton 45.634 1:44.178 | Meyer Shank Racing w/Curb-Agajanian | Acura NSX GT3 GTD,1,21:36:34.001,M. McMurry,21:37:21.428,M. Farnbacher,47.427,47.427,20_Pit Stops Time Cards_Race.PDF,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,96,Turner Motorsport | BMW M6 GT3 GTD,1,21:38:16.340,R. Foley,21:39:04.535,B. Auberlen,48.195,48.195,20_Pit Stops Time Cards_Race.PDF,1,2
