year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,results,rows,pass,18,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,results,positions,pass,18,"first=[1, 2, 3] last=[16, 17, 18]"
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,results,car_numbers,pass,18,not in entries: []
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,results,best_lap_time_card_match,pass,18/18,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,results,classified_laps_time_card_match,warn,16/18,official penalties and incomplete time cards can differ
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,fastest_laps_by_driver,rows,pass,36,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,fastest_laps_by_driver,positions,pass,36,"first=[1, 2, 3] last=[34, 35, 36]"
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,fastest_laps_by_driver,car_numbers,pass,18,not in entries: []
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,fastest_laps_by_driver,time_card_lap_match,pass,33/33,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,fastest_laps_by_driver,time_card_driver_match,pass,33/33,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,drive_time,rows,pass,59,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,drive_time,car_numbers,pass,18,not in entries: []
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,drive_time,segment_continuity,pass,41/41,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,pit_stops,rows,pass,19,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,pit_stops,car_numbers,pass,15,not in entries: []
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,pit_stops,clock_duration_match,pass,19/19,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,pit_stops,cumulative_duration_match,pass,19/19,
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,flags_analysis,source,not_available,0,report not published for this race
