year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,1,1,3,GTLM,,A. Garcia / J. Taylor,Corvette Racing,Chevrolet Corvette C8.R,62,1:40:08.170,-,,,48,1:26.663,96.373,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,2,2,24,GTLM,,J. Krohn / J. Edwards,BMW Team RLL,BMW M8 GTE,62,1:40:09.644,1.474,1.474,,41,1:26.894,96.116,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,3,25,GTLM,,B. Spengler / C. De Phillippi,BMW Team RLL,BMW M8 GTE,62,1:40:10.229,2.059,0.585,,31,1:26.655,96.381,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,1,96,GTD,,B. Auberlen / R. Foley,Turner Motorsport,BMW M6 GT3,61,1:40:18.279,1 Lap,1,,33,1:27.546,95.401,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,5,2,16,GTD,,R. Hardwick / P. Long,Wright Motorsports,Porsche 911 GT3R,61,1:40:19.776,1 Lap,1.497,,59,1:28.485,94.388,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,6,3,23,GTD,,I. James / R. De Angelis,Heart Of Racing Team,Aston Martin Vantage GT3,61,1:40:27.913,1 Lap,8.137,,60,1:29.054,93.785,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,7,4,12,GTD,,T. Bell / M. De Quesada,AIM VASSER SULLIVAN,Lexus RC F GT3,61,1:40:30.064,1 Lap,2.151,,33,1:29.237,93.593,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,8,5,57,GTD,,A. Parente / M. Goikhberg,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,61,1:40:31.124,1 Lap,1.060,,31,1:29.411,93.411,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,9,6,30,GTD,,R. Ferriol / S. Pumpelly,Team Hardpoint,Audi R8 LMS GT3,61,1:40:32.768,1 Lap,1.644,,24,1:28.950,93.895,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,10,7,86,GTD,,M. Farnbacher / M. McMurry,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,61,1:40:32.862,1 Lap,0.094,,28,1:28.469,94.405,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,11,8,14,GTD,,A. Telitz / J. Hawksworth,AIM VASSER SULLIVAN,Lexus RC F GT3,61,1:40:46.239,1 Lap,13.377,,30,1:28.459,94.416,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,9,76,GTD,,J. Kingsley / P. Holton,Compass Racing,McLaren 720S GT3,60,1:40:24.999,2 Laps,1,,43,1:28.202,94.691,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,13,10,74,GTD,,G. Robinson / L. Aschenbach,Riley Motorsports,Mercedes-AMG GT3,60,1:40:35.413,2 Laps,10.414,,45,1:28.274,94.614,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,14,4,4,GTLM,,O. Gavin / T. Milner,Corvette Racing,Chevrolet Corvette C8.R,54,1:26:19.340,8 Laps,6,Not Running,40,1:26.731,96.297,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,15,11,44,GTD,,J. Potter / A. Lally,GRT Magnus,Lamborghini Huracan GT3,25,47:29.954,37 Laps,29,Not Running,25,1:30.720,92.063,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,16,12,22,GTD,,T. Bechtolsheimer / M. Miller,Gradient Racing,Acura NSX GT3,9,16:07.373,53 Laps,16,Not Running,3,1:36.230,86.791,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,17,5,911,GTLM,,N. Tandy / F. Makowiecki,Porsche GT Team,Porsche 911 RSR - 19,19,13:58.933,54 Laps,1,Not Running,2,1:30.686,92.097,03_Results_Race_Official.PDF,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,18,6,912,GTLM,,E. Bamber / L. Vanthoor,Porsche GT Team,Porsche 911 RSR - 19,19,6:29.676,58 Laps,4,Not Running,3,1:31.105,91.674,03_Results_Race_Official.PDF,1
