year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,1,2,Jordan Taylor,1:33.253,15.515,34.125,43.613,89.562,1:33.253,,,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,2,2,Jordan Taylor,1:31.829,15.307,33.314,43.208,90.951,3:05.082,91829,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,3,2,Jordan Taylor,1:30.860,14.498,33.109,43.253,91.921,4:35.942,90860,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,4,2,Jordan Taylor,1:34.694,15.511,35.010,44.173,88.199,6:10.636,94694,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,5,2,Jordan Taylor,1:35.447,15.263,35.338,44.846,87.503,7:46.083,95447,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,6,2,Jordan Taylor,1:37.289,15.928,35.696,45.665,85.847,9:23.372,97289,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,7,2,Jordan Taylor,1:43.218,15.980,37.258,49.980,80.915,11:06.590,103218,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,8,2,Jordan Taylor,2:28.549,18.914,47.979,1:21.656,56.223,13:35.139,148549,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,9,2,Jordan Taylor,2:28.647,25.431,50.357,1:12.859,56.186,16:03.786,148647,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,10,2,Jordan Taylor,1:46.706,15.663,35.773,55.270,78.270,17:50.492,106706,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,11,2,Jordan Taylor,2:29.064,20.711,44.815,1:23.538,56.029,20:19.556,149064,0,1,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,12,1,Antonio Garcia,2:43.488,46.622,40.441,1:16.425,51.086,23:03.044,163488,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,13,1,Antonio Garcia,2:19.905,24.808,41.748,1:13.349,59.697,25:22.949,139905,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,14,1,Antonio Garcia,2:21.457,23.793,47.079,1:10.585,59.042,27:44.406,141457,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,15,1,Antonio Garcia,1:29.827,14.520,33.041,42.266,92.978,29:14.233,89827,0,0,1
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,16,1,Antonio Garcia,1:29.651,14.114,32.664,42.873,93.161,30:43.884,89651,0,0,1
