year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,01_Grid_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/01_Grid_Race_Official.PDF,pdfs/01_Grid_Race_Official.PDF,afd63e76208fd62718b066072302e7486f66d18c165c9c5d3d5dd442e26b7db8,189498,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,01_Grid_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/01_Grid_Race_Provisional.PDF,pdfs/01_Grid_Race_Provisional.PDF,f658cc3d1a280cfccf902b22b39f29d55c7abf50416c8e251e1227c2ee2fd26d,189505,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,01_Starting Grid by Number_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/01_Starting%20Grid%20by%20Number_Race_Official.PDF,pdfs/01_Starting Grid by Number_Race_Official.PDF,db4ea34a11291a66180d672a1bba13a37132bb214b64d0384c647956701859ae,112971,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,01_Starting Grid by Number_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/01_Starting%20Grid%20by%20Number_Race_Provisional.PDF,pdfs/01_Starting Grid by Number_Race_Provisional.PDF,0091159ebc70f8738ce131381b702e44d0a3f37dcc83a305a174dca88efba1d6,112800,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,e8de60ebee6528a374cf3ba2c1bcdb71e93cd192e92c123e1f16e0246f613dfe,205428,results,preferred,existing,reports-1,2,26,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,321b218e9cc6575313e678dd1ffb788384f98b61b5a9f99868c5b2b554f81a09,205304,results,alternate,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,8ddab12a56cd0d958a5965d0a79034ba18d7cf508c0b1a717fcbbb4ccb3c365d,142875,results,alternate,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,215d717a5f58ff2d99574226e71dacbe9e74450e355acf8316d7d73e547a41d4,202776,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,8f99fff0d7184ada420e454c7cb34e6c2c943b1ac8476fd3348d86eaff2909a9,202656,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,9d90f7f0571eedcccce9d4024f5b66e2746e9b2b91ca8a8c294b0b50f2362700,139273,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,0ef5dcbb5e47402df46b20603fbb939fb3934aa6aa659159d66fddb9038c8e54,120650,fastest_laps_by_driver,alternate,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,06_Fastest Lap By Driver_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/06_Fastest%20Lap%20By%20Driver_Race_Official.PDF,pdfs/06_Fastest Lap By Driver_Race_Official.PDF,d95e5bc27ac04463e9aa1fce79d1cacf8e33bddd472616a7c412be44ee76a512,126840,fastest_laps_by_driver,preferred,existing,reports-1,2,52,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,ee3495adb5a4b3ece80c8f9be2f7e60f42cc3453aaad90f5e96d09ca9a76033b,107283,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,07_Fastest Lap By Driver After_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/07_Fastest%20Lap%20By%20Driver%20After_Race_Official.PDF,pdfs/07_Fastest Lap By Driver After_Race_Official.PDF,e27ef78653608d1b0972f39ddfcaae8ce81695030d74ac2cf068ebb787dd6000,118954,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,fda6661768e782b9258f5d2a29251e91f0312b92febaf59853f1fccaf60e47ba,117061,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,07_Fastest Lap By Driver and Class After_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race_Official.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race_Official.PDF,19d2c43262017db6367a0ae6bfa73632ae24628618aa5de6de48c123fa755cb2,123066,,unsupported,existing,,,,
2020,04_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2020-07-04,202007041810_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/04_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202007041810_Race/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,76f9bc6227e601a644cec27ec94839bce65451014fa09ceb7f068070b9e0cc52,142358,,unsupported,existing,,,,
