year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,1,DPi,6,ACURA TEAM PENSKE,Acura DPi,Juan Pablo Montoya,1:12.292,78,82,,,112.443,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,2,DPi,77,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:12.766,42,66,0.474,0.474,111.711,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,3,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:12.794,46,54,0.502,0.028,111.668,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,4,DPi,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:12.795,41,62,0.503,0.001,111.666,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,5,DPi,7,ACURA TEAM PENSKE,Acura DPi,Helio Castroneves,1:12.868,39,63,0.576,0.073,111.554,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,DPi,7,ACURA TEAM PENSKE,Acura DPi,Ricky Taylor,1:12.931,18,52,0.639,0.063,111.458,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,7,DPi,6,ACURA TEAM PENSKE,Acura DPi,Dane Cameron,1:12.956,15,30,0.664,0.025,111.420,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,8,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:13.019,43,53,0.727,0.063,111.324,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,9,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ryan Briscoe,1:13.086,41,65,0.794,0.067,111.222,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,10,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger van der Zande,1:13.127,33,50,0.835,0.041,111.159,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,11,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:13.163,39,61,0.871,0.036,111.105,06_Fastest Lap By Driver_Race.PDF,1
