year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,14:46:04.980,J. Taylor,14:46:51.649,J. Taylor,46.669,46.669,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,15:42:40.560,J. Taylor,15:43:33.881,A. Garcia,53.321,1:39.990,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,4,2 J. Taylor A. Garcia 53.321 1:39.990 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,14:46:05.622,O. Gavin,14:46:55.468,T. Milner,49.846,49.846,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,4,2 J. Taylor A. Garcia 53.321 1:39.990 | Corvette Racing | Chevrolet Corvette C8.R GTLM,2,15:42:42.867,T. Milner,15:43:35.278,T. Milner,52.411,1:42.257,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,5,2 T. Milner T. Milner 52.411 1:42.257 | Mustang Sampling Racing / JDC-Miller MotorSports | Cadillac DPi DPi,1,14:43:52.312,S. Bourdais,14:44:45.382,S. Bourdais,53.070,53.070,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,5,2 T. Milner T. Milner 52.411 1:42.257 | Mustang Sampling Racing / JDC-Miller MotorSports | Cadillac DPi DPi,2,15:26:53.613,S. Bourdais,15:27:46.749,S. Bourdais,53.136,1:46.206,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,5,2 T. Milner T. Milner 52.411 1:42.257 | Mustang Sampling Racing / JDC-Miller MotorSports | Cadillac DPi DPi,3,16:00:57.804,S. Bourdais,16:01:47.657,J. Barbosa,49.853,2:36.059,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,3 S. Bourdais J. Barbosa 49.853 2:36.059 | ACURA TEAM PENSKE | Acura DPi DPi,1,14:43:45.410,D. Cameron,14:44:30.407,J. Montoya,44.997,44.997,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,3 S. Bourdais J. Barbosa 49.853 2:36.059 | ACURA TEAM PENSKE | Acura DPi DPi,2,15:09:25.743,J. Montoya,15:10:13.848,J. Montoya,48.105,1:33.102,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,3 S. Bourdais J. Barbosa 49.853 2:36.059 | ACURA TEAM PENSKE | Acura DPi DPi,3,16:02:07.880,J. Montoya,16:02:59.498,J. Montoya,51.618,2:24.720,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,3 S. Bourdais J. Barbosa 49.853 2:36.059 | ACURA TEAM PENSKE | Acura DPi DPi,4,16:40:10.263,J. Montoya,16:41:32.177,J. Montoya,1:21.914,3:46.634,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,7,4 J. Montoya J. Montoya 1:21.914 3:46.634 | ACURA TEAM PENSKE | Acura DPi DPi,1,14:43:51.350,H. Castroneves,14:44:40.420,H. Castroneves,49.070,49.070,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,7,4 J. Montoya J. Montoya 1:21.914 3:46.634 | ACURA TEAM PENSKE | Acura DPi DPi,2,15:27:55.050,H. Castroneves,15:28:50.105,R. Taylor,55.055,1:44.125,20_Pit Stops Time Cards_Race.PDF,1,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,7,4 J. Montoya J. Montoya 1:21.914 3:46.634 | ACURA TEAM PENSKE | Acura DPi DPi,3,15:59:36.959,R. Taylor,16:00:18.815,R. Taylor,41.856,2:25.981,20_Pit Stops Time Cards_Race.PDF,1,1
