year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,1,DPi,6,ACURA TEAM PENSKE,Acura DPi,Dane Cameron,1:09.722,185,192,,,131.149,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,2,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger van der Zande,1:09.723,116,193,0.001,0.001,131.147,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,3,DPi,77,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:09.750,74,141,0.028,0.027,131.096,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,4,DPi,31,Whelen Engineering Racing,Cadillac DPi,Filipe Albuquerque,1:09.808,106,113,0.086,0.058,130.987,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,5,DPi,77,Mazda Motorsports,Mazda DPi,Olivier Pla,1:09.813,6,120,0.091,0.005,130.978,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,6,DPi,7,ACURA TEAM PENSKE,Acura DPi,Ricky Taylor,1:09.819,95,172,0.097,0.006,130.966,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,7,DPi,7,ACURA TEAM PENSKE,Acura DPi,Helio Castroneves,1:09.845,117,177,0.123,0.026,130.918,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,8,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:09.859,62,167,0.137,0.014,130.891,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,9,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ryan Briscoe,1:09.875,105,177,0.153,0.016,130.861,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,10,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:09.879,98,178,0.157,0.004,130.854,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,11,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:09.883,116,161,0.161,0.004,130.846,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,12,DPi,55,Mazda Motorsports,Mazda DPi,Ryan Hunter-Reay,1:09.891,37,154,0.169,0.008,130.831,06_Fastest Lap By Driver_Race.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,13,DPi,77,Mazda Motorsports,Mazda DPi,Tristan Nunez,1:09.914,57,166,0.192,0.023,130.788,06_Fastest Lap By Driver_Race.PDF,1
