year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,1,1,10,DPi,,R. van der Zande / R. Briscoe S. Dixon,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,460,10:00:22.332,-,,,322,1:09.723,131.147,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,2,2,7,DPi,,A. Rossi / H. Castroneves / R. Taylor,ACURA TEAM PENSKE,Acura DPi,460,10:00:22.761,0.429,0.429,,238,1:09.819,130.966,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,3,3,6,DPi,,J. Montoya / D. Cameron S. Pagenaud,ACURA TEAM PENSKE,Acura DPi,460,10:00:23.568,1.236,0.807,,453,1:09.722,131.149,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,4,4,5,DPi,,T. Vautier / S. Bourdais / L. Duval,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,460,10:00:26.032,3.700,2.464,,317,1:10.246,130.170,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,5,5,31,DPi,,F. Nasr / P. Derani / F. Albuquerque,Whelen Engineering Racing,Cadillac DPi,458,10:00:40.503,2 Laps,2,,338,1:09.808,130.987,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,6,1,8,LMP2,,J. Farano / M. Jensen / J. van Uitert,Tower Motorsport by Starworks,ORECA LMP2 07,450,10:00:27.126,10 Laps,8,,314,1:10.665,129.398,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,7,2,38,LMP2,,J. McGuire / M. Bell / C. Braun,Performance Tech Motorsports,ORECA LMP2 07,445,10:00:41.953,15 Laps,5,,116,1:10.634,129.455,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,8,6,55,DPi,,J. Bomarito / H. Tincknell R. Hunter-Reay,Mazda Motorsports,Mazda DPi,441,10:00:23.854,19 Laps,4,,396,1:09.883,130.846,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,9,3,51,LMP2,,A. McCusker / J. Smiechowski R. Hodes,Inter Europol Competition,ORECA LMP2 07,441,10:00:29.000,19 Laps,5.146,,47,1:12.038,126.932,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,10,1,911,GTLM,,N. Tandy / F. Makowiecki M. Campbell,Porsche GT Team,Porsche 911 RSR - 19,19,10:00:30.683,29 Laps,10,,373,1:16.780,119.093,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,11,2,3,GTLM,,A. Garcia / J. Taylor / N. Catsburg,Corvette Racing,Chevrolet Corvette C8.R,431,10:00:32.462,29 Laps,1.779,,422,1:16.928,118.864,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,12,3,24,GTLM,,J. Krohn / J. Edwards / A. Farfus,BMW Team RLL,BMW M8 GTE,431,10:00:35.095,29 Laps,2.633,,382,1:16.928,118.864,03_Results_Race_Official.PDF,1
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,13,4,4,GTLM,,O. Gavin / T. Milner / M. Fassler,Corvette Racing,Chevrolet Corvette C8.R,431,10:00:35.527,29 Laps,0.432,,228,1:16.927,118.865,03_Results_Race_Official.PDF,1
