year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,1,DPi,6,ACURA TEAM PENSKE,Acura DPi,Dane Cameron,1:51.034,29,38,,,131.245,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,2,DPi,77,Mazda Motorsports,Mazda DPi,Tristan Nunez,1:51.297,22,35,0.263,0.263,130.935,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,3,DPi,7,ACURA TEAM PENSKE,Acura DPi,Ricky Taylor,1:51.343,23,34,0.309,0.046,130.881,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,4,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:51.571,22,51,0.537,0.228,130.614,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,5,DPi,77,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:51.964,18,28,0.930,0.393,130.155,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,6,DPi,6,ACURA TEAM PENSKE,Acura DPi,Juan Pablo Montoya,1:52.038,3,23,1.004,0.074,130.069,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,7,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:52.253,20,45,1.219,0.215,129.820,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,8,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:52.270,23,36,1.236,0.017,129.801,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,9,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger van der Zande,1:52.285,3,27,1.251,0.015,129.783,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,10,DPi,7,ACURA TEAM PENSKE,Acura DPi,Helio Castroneves,1:52.420,5,29,1.386,0.135,129.627,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,11,DPi,5,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,Joao Barbosa,1:52.448,27,35,1.414,0.028,129.595,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,12,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ryan Briscoe,1:52.522,6,36,1.488,0.074,129.510,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,13,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:52.574,3,27,1.540,0.052,129.450,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,14,DPi,5,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,Sebastien Bourdais,1:52.856,7,28,1.822,0.282,129.127,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,15,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2 07,Simon Trummer,1:53.492,9,25,2.458,0.636,128.403,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,16,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Chris Miller,1:53.620,7,17,2.586,0.128,128.258,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,17,LMP2,81,DragonSpeed USA,ORECA LMP2 07,Ben Hanley,1:53.862,23,37,2.828,0.242,127.986,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,18,LMP2,18,Era Motorsport,ORECA LMP2 07,Kyle Tilley,1:54.873,12,33,3.839,1.011,126.859,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,19,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2 07,Patrick Kelly,1:55.428,22,29,4.394,0.555,126.249,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,20,LMP2,38,Performance Tech Motorsports,ORECA LMP2 07,James French,1:55.453,11,31,4.419,0.025,126.222,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,21,DPi,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:56.578,2,12,5.544,1.125,125.004,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,22,LMP2,81,DragonSpeed USA,ORECA LMP2 07,Henrik Hedman,1:57.755,7,24,6.721,1.177,123.754,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,23,LMP2,18,Era Motorsport,ORECA LMP2 07,Dwight Merriman,1:58.127,6,27,7.093,0.372,123.365,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,24,LMP2,38,Performance Tech Motorsports,ORECA LMP2 07,Cameron Cassels,1:58.999,27,29,7.965,0.872,122.461,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,25,GTLM,3,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,2:02.664,25,41,11.630,3.665,118.802,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,26,GTLM,912,Porsche GT Team,Porsche 911 RSR - 19,Laurens Vanthoor,2:02.691,23,25,11.657,0.027,118.776,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,27,GTLM,912,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,2:02.735,4,33,11.701,0.044,118.733,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,28,GTLM,3,Corvette Racing,Chevrolet Corvette C8.R,Jordan Taylor,2:02.799,5,19,11.765,0.064,118.671,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,29,GTLM,911,Porsche GT Team,Porsche 911 RSR - 19,Nick Tandy,2:02.898,15,31,11.864,0.099,118.576,06_Fastest Lap By Driver_Race.PDF,1
