year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,time_cards,rows,pass,1760,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,time_cards,duplicate_car_lap_keys,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,time_cards,rows_without_car_header,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,time_cards,elapsed_delta_match_rate,warn,0.983815,1702/1730; consistent offset -554639 ms across 28 cars
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,time_cards,lap_number_gaps,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,rows,pass,1760,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,duplicate_car_lap_keys,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,unmatched_analysis_rows,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,rows_without_lap_header,pass,0,
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,time_card_key_coverage,pass,1.000000,1760/1760
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,analysis_by_lap,lap_time_match_rate,pass,1.000000,1760/1760
