year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,A. Garcia,11:37:21,12:04:18,TRACK,26:57.182,26:57.182,26:57.182,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,A. Garcia,12:04:18,12:05:10,PIT,52.388,26:57.182,27:49.570,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,A. Garcia,12:05:10,12:50:11,TRACK,45:00.443,1:11:57.625,1:12:50.013,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,A. Garcia,12:50:11,12:51:09,PIT,58.578,1:11:57.625,1:13:48.591,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,3,A. Garcia,12:51:09,13:51:48,TRACK,1:00:38.330,2:12:35.955,2:14:26.921,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,13:51:48,13:52:57,PIT,1:09.778,,1:09.778,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,4,J. Taylor,13:52:57,14:49:48,TRACK,56:51.117,56:51.117,56:51.117,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,J. Taylor,14:49:48,14:50:56,PIT,1:07.627,56:51.117,57:58.744,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,5,J. Taylor,14:50:56,15:45:43,TRACK,54:47.382,1:51:38.499,1:52:46.126,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,J. Taylor,15:45:43,15:46:49,PIT,1:05.551,1:51:38.499,1:53:51.677,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,6,J. Taylor,15:46:49,16:41:30,TRACK,54:40.828,2:46:19.327,2:48:32.505,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,16:41:30,16:42:34,PIT,1:03.687,,2:13.465,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,7,A. Garcia,16:42:34,17:19:07,TRACK,36:33.819,2:49:09.774,2:51:00.740,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,A. Garcia,17:19:07,17:20:01,PIT,53.566,2:49:09.774,2:51:54.306,20_Drive Time_Race.PDF,1,1
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,8,A. Garcia,17:20:01,17:37:21,TRACK,17:19.724,3:06:29.498,3:09:14.030,20_Drive Time_Race.PDF,1,1
