year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,5,DPi,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac,Joao Barbosa,Sebastien Bourdais,Tristan Vautier,,,Mustang Sampling Racing / Cadillac DPi | JDC-Miller MotorSports DPi | 1.Joao Barbosa 3.Tristan Vautier | 2.Sebastien Bourdais
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,6,DPi,ACURA TEAM PENSKE,Acura,Juan Pablo Montoya,Dane Cameron,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Juan Pablo Montoya | 2.Dane Cameron
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,7,DPi,ACURA TEAM PENSKE,Acura,Helio Castroneves,Ricky Taylor,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac,Renger van der Zande,Ryan Briscoe,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | DPi | 1.Renger van der Zande | 2.Ryan Briscoe
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,11,GTD,GRT Grasser Racing Team,Lamborghini Huracan GT3,Richard Heistand,Steijn Schothorst,Richard Westbrook,,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Richard Heistand 3.Richard Westbrook | 2.Steijn Schothorst
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,Aaron Telitz,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Aaron Telitz | 2.Townsend Bell
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Daniel Morad,Jack Hawksworth,Michael De Quesada,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Daniel Morad 3.Michael De Quesada | 2.Jack Hawksworth
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,Jan Heylen,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick 3.Jan Heylen | 2.Patrick Long
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Kyle Tilley,Colin Braun,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Colin Braun | 2.Kyle Tilley
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Ian James,Roman De Angelis,Darren Turner,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James 3.Darren Turner | 2.Roman De Angelis
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Bruno Spengler,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Bruno Spengler | 2.Connor De Phillippi
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,Filipe Albuquerque,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr 3.Filipe Albuquerque | 2.Pipo Derani
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,44,GTD,GRT Magnus,Lamborghini Huracan GT3,John Potter,Andy Lally,Spencer Pumpelly,,,GRT Magnus Lamborghini Huracan GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,48,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Madison Snow,Corey Lewis,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Patrick Kelly,Simon Trummer,Scott Huffaker,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly 3.Scott Huffaker | 2.Simon Trummer
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,55,DPi,Mazda Motorsports,Mazda,Jonathan Bomarito,Harry Tincknell,Ryan Hunter-Reay,,,Mazda Motorsports Mazda DPi | DPi | 1.Jonathan Bomarito 3.Ryan Hunter-Reay | 2.Harry Tincknell
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,57,GTD,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Alvaro Parente,Misha Goikhberg,Trent Hindman,,,Heinricher Racing w/MSR Acura NSX GT3 | Curb-Agajanian GTD | 1.Alvaro Parente 3.Trent Hindman | 2.Misha Goikhberg
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Toni Vilander,Jeff Westphal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Jeff Westphal | 2.Toni Vilander
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,74,GTD,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,Lawson Aschenbach,Ben Keating,,,Riley Motorsports Mercedes-AMG GT3 | GTD | 1.Gar Robinson 3.Ben Keating | 2.Lawson Aschenbach
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,77,DPi,Mazda Motorsports,Mazda,Oliver Jarvis,Tristan Nunez,Olivier Pla,,,Mazda Motorsports Mazda DPi | DPi | 1.Oliver Jarvis 3.Olivier Pla | 2.Tristan Nunez
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Matheus Leist,Stephen Simpson,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Matheus Leist | 2.Stephen Simpson
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,86,GTD,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Matt McMurry,Shinya Michimi,,,Meyer Shank Racing Acura NSX GT3 | w/Curb-Agajanian GTD | 1.Mario Farnbacher 3.Shinya Michimi | 2.Matt McMurry
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,Dillon Machavern,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen 3.Dillon Machavern | 2.Robby Foley
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,911,GTLM,Porsche GT Team,Porsche RSR - 19,Nick Tandy,Fred Makowiecki,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Nick Tandy | 2.Fred Makowiecki
2020,09_Road Atlanta,Road Atlanta,road-atlanta,2020-09-05,202009051135_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
