year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,5,DPi,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac,Joao Barbosa,Sebastien Bourdais,Loic Duval,,,Mustang Sampling Racing / Cadillac DPi | JDC-Miller MotorSports DPi | 1.Joao Barbosa 3.Loic Duval | 2.Sebastien Bourdais
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,6,DPi,ACURA TEAM PENSKE,Acura,Dane Cameron,Juan Pablo Montoya,Simon Pagenaud,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Dane Cameron 3.Simon Pagenaud | 2.Juan Pablo Montoya
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,7,DPi,ACURA TEAM PENSKE,Acura,Helio Castroneves,Alexander Rossi,Ricky Taylor,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves 3.Ricky Taylor | 2.Alexander Rossi
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,8,LMP2,Tower Motorsport by Starworks,ORECA 07,John Farano,Ryan Dalziel,David Heinemeier Hansson,Nicolas Lapierre,,Tower Motorsport by Starworks ORECA LMP2 07 | LMP2 | 1.John Farano 3.David Heinemeier Hansson | 2.Ryan Dalziel 4.Nicolas Lapierre
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Dennis Olsen,Zacharie Robichon,Lars Kern,Patrick Pilet,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Dennis Olsen 3.Lars Kern | 2.Zacharie Robichon 4.Patrick Pilet
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac,Ryan Briscoe,Scott Dixon,Kamui Kobayashi,Renger van der Zande,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | DPi | 1.Ryan Briscoe 3.Kamui Kobayashi | 2.Scott Dixon 4.Renger van der Zande
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,11,GTD,GRT Grasser Racing Team,Lamborghini Huracan GT3,Richard Heistand,Steijn Schothorst,Franck Perera,Albert Costa,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Richard Heistand 3.Franck Perera | 2.Steijn Schothorst 4.Albert Costa
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,Shane van Gisbergen,Aaron Telitz,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Shane van Gisbergen | 2.Townsend Bell 4.Aaron Telitz
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Parker Chase,Jack Hawksworth,Kyle Busch,Michael De Quesada,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Parker Chase 3.Kyle Busch | 2.Jack Hawksworth 4.Michael De Quesada
