year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,1,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger van der Zande,1:34.652,189,213,,,135.401,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,2,DPi,5,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,Loic Duval,1:34.848,202,300,0.196,0.196,135.121,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,3,DPi,77,Mazda Team Joest,Mazda DPi,Olivier Pla,1:34.911,84,208,0.259,0.063,135.031,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,4,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Kamui Kobayashi,1:35.009,110,259,0.357,0.098,134.892,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,5,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ryan Briscoe,1:35.123,193,275,0.471,0.114,134.730,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,6,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Scott Dixon,1:35.216,75,86,0.564,0.093,134.599,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,7,DPi,31,Whelen Engineering Racing,Cadillac DPi,Mike Conway,1:35.256,88,199,0.604,0.040,134.542,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,8,DPi,7,ACURA TEAM PENSKE,Acura DPi,Helio Castroneves,1:35.375,135,258,0.723,0.119,134.374,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,9,DPi,31,Whelen Engineering Racing,Cadillac DPi,Filipe Albuquerque,1:35.378,185,191,0.726,0.003,134.370,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,10,DPi,55,Mazda Team Joest,Mazda DPi,Harry Tincknell,1:35.388,31,266,0.736,0.010,134.356,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,11,DPi,55,Mazda Team Joest,Mazda DPi,Jonathan Bomarito,1:35.407,165,258,0.755,0.019,134.329,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,12,DPi,77,Mazda Team Joest,Mazda DPi,Oliver Jarvis,1:35.459,212,338,0.807,0.052,134.256,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,13,DPi,7,ACURA TEAM PENSKE,Acura DPi,Ricky Taylor,1:35.468,226,301,0.816,0.009,134.243,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,14,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:35.473,206,223,0.821,0.005,134.236,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,15,DPi,5,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,Joao Barbosa,1:35.488,208,244,0.836,0.015,134.215,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,16,DPi,77,Mazda Team Joest,Mazda DPi,Tristan Nunez,1:35.489,205,287,0.837,0.001,134.214,06_Fastest Lap By Driver_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,17,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:35.495,105,257,0.843,0.006,134.205,06_Fastest Lap By Driver_Race_Official.PDF,1
