year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,time_cards,rows,pass,27545,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,time_cards,duplicate_car_lap_keys,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,time_cards,rows_without_car_header,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,time_cards,elapsed_delta_match_rate,pass,1.000000,27507/27507
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,time_cards,lap_number_gaps,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,rows,pass,27542,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,duplicate_car_lap_keys,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,unmatched_analysis_rows,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,rows_without_lap_header,pass,0,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,time_card_key_coverage,pass,1.000000,27542/27542
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,analysis_by_lap,lap_time_match_rate,pass,1.000000,27542/27542
