year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,results,rows,pass,38,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,results,positions,pass,38,"first=[1, 2, 3] last=[36, 37, 38]"
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,results,car_numbers,pass,38,not in entries: []
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,results,best_lap_time_card_match,pass,38/38,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,results,classified_laps_time_card_match,warn,36/38,official penalties and incomplete time cards can differ
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,fastest_laps_by_driver,rows,pass,143,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,fastest_laps_by_driver,positions,pass,143,"first=[1, 2, 3] last=[141, 142, 143]"
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,fastest_laps_by_driver,car_numbers,pass,38,not in entries: []
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,fastest_laps_by_driver,time_card_lap_match,pass,142/142,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,fastest_laps_by_driver,time_card_driver_match,pass,142/142,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,drive_time,rows,pass,2343,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,drive_time,car_numbers,pass,38,not in entries: []
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,drive_time,segment_continuity,pass,2305/2305,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,pit_stops,rows,pass,1145,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,pit_stops,car_numbers,pass,38,not in entries: []
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,pit_stops,clock_duration_match,pass,1145/1145,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,pit_stops,cumulative_duration_match,pass,1145/1145,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,flags_analysis,source,not_available,0,report not published for this race
