year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,fc358c9e299b4eac4aaa7573971da482d22f0edf4aeab84d366e3d66c09da54f,390390,results,preferred,existing,reports-1,3,38,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,dfbd131dfa2eb3797c9fe26a962edc750f6f5b5604045aeb02afe9a6d9bcb2fc,390386,results,alternate,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,1fb146bee052a1b7f5e99689cba43ee9cd735264f4be64cc6ccce624bfd5fa05,328942,results,alternate,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,2759e5036698f40746e54d87a54377a5a5ceb7695b46da93921b5c68912f53cd,387056,,unsupported,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,2839eba78105807ea126a7681b3c577de32de39a6235ad5df6c66744ec5bc4f8,387034,,unsupported,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,74d15a8417b47103a42de51df4516d7e3209e8f8d0a91b457345b73f554d1125,416625,,unsupported,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,79d3d224255b096ac5a1c7cfea44fa913ebbf13919dae57e043636419a38bfcb,399479,fastest_laps_by_driver,alternate,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,06_Fastest Lap By Driver_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/06_Fastest%20Lap%20By%20Driver_Race_Official.PDF,pdfs/06_Fastest Lap By Driver_Race_Official.PDF,9621ac08c12b9875ab641ff3bf56364cc1c9db918d94a2f6ec78a40e215445b7,405581,fastest_laps_by_driver,preferred,existing,reports-1,4,143,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,57b031c423102878956ab39b60ba9a2ed4eb681723575fa9f6bc4c7ff0839dfc,392782,,unsupported,existing,,,,
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,07_Fastest Lap By Driver After_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/20_2020/02_Rolex%2024%20at%20Daytona/01_IMSA%20WeatherTech%20SportsCar%20Championship/202001251340_Race/24_Hour%2024/07_Fastest%20Lap%20By%20Driver%20After_Race_Official.PDF,pdfs/07_Fastest Lap By Driver After_Race_Official.PDF,bf049afd9c1d48b018b03d1ca222665062e84392b2b89f35e89710bf160a0460,398024,,unsupported,existing,,,,
