year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,5,DPi,JDC-Miller MotorSports,Cadillac,Joao Barbosa,Sebastien Bourdais,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Joao Barbosa | 2.Sebastien Bourdais
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,6,DPi,TEAM PENSKE,Acura,Dane Cameron,Juan Pablo Montoya,,,,TEAM PENSKE Acura DPi | DPi | 1.Dane Cameron | 2.Juan Pablo Montoya
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,7,DPi,TEAM PENSKE,Acura,Helio Castroneves,Ricky Taylor,,,,TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,8,LMP2,Starworks,ORECA 07,John Farano,Ryan Dalziel,,,,Starworks ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Ryan Dalziel
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,10,DPi,"Wayne Taylor Racing, LLC",Cadillac,Renger van der Zande,Ryan Briscoe,,,,"Wayne Taylor Racing, LLC Cadillac DPi | DPi | 1.Renger van der Zande | 2.Ryan Briscoe"
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,12,GTD,AIM VASSER SULLIVAN LLC,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,,,,AIM VASSER SULLIVAN LLC Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Townsend Bell
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,14,GTD,AIM VASSER SULLIVAN LLC,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,AIM VASSER SULLIVAN LLC Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Patrick Long
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Kyle Tilley,,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman | 2.Kyle Tilley
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,22,GTD,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,Marc Miller,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Till Bechtolsheimer | 2.Marc Miller
