year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,J. Taylor,14:05:47,14:41:28,TRACK,35:40.170,35:40.170,35:40.170,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,J. Taylor,14:41:28,14:42:33,PIT,1:05.376,35:40.170,36:45.546,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,J. Taylor,14:42:33,15:52:01,TRACK,1:09:28.449,1:45:08.619,1:46:13.995,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,15:52:01,15:53:00,PIT,58.149,,58.149,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,3,A. Garcia,15:53:00,16:45:47,TRACK,52:47.856,52:47.856,52:47.856,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,4,J. Taylor 1:05.376 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,O. Gavin,14:05:47,14:41:28,TRACK,35:40.646,35:40.646,35:40.646,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,4,J. Taylor 1:05.376 | Corvette Racing | Chevrolet Corvette C8.R GTLM,,O. Gavin,14:41:28,14:42:20,PIT,52.011,35:40.646,36:32.657,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,4,J. Taylor 1:05.376 | Corvette Racing | Chevrolet Corvette C8.R GTLM,2,O. Gavin,14:42:20,15:37:02,TRACK,54:42.260,1:30:22.906,1:31:14.917,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,4,J. Taylor 1:05.376 | Corvette Racing | Chevrolet Corvette C8.R GTLM,,,15:37:02,15:37:54,PIT,51.274,,51.274,20_Drive Time_Race.PDF,1,1
2020,08_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2020-08-22,202008221400_Race,4,J. Taylor 1:05.376 | Corvette Racing | Chevrolet Corvette C8.R GTLM,3,T. Milner,15:37:54,16:22:41,TRACK,44:47.211,44:47.211,44:47.211,20_Drive Time_Race.PDF,1,1
