year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,5,DPi,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac,Tristan Vautier,Sebastien Bourdais,,,,Mustang Sampling Racing / Cadillac DPi | JDC-Miller MotorSports DPi | 1.Tristan Vautier | 2.Sebastien Bourdais
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,6,DPi,ACURA TEAM PENSKE,Acura,Juan Pablo Montoya,Dane Cameron,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Juan Pablo Montoya | 2.Dane Cameron
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,7,DPi,ACURA TEAM PENSKE,Acura,Helio Castroneves,Ricky Taylor,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac,Renger van der Zande,Ryan Briscoe,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | DPi | 1.Renger van der Zande | 2.Ryan Briscoe
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Townsend Bell
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Patrick Long
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,22,GTD,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,Marc Miller,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Till Bechtolsheimer | 2.Marc Miller
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Ian James,Roman De Angelis,,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James | 2.Roman De Angelis
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Bruno Spengler,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Bruno Spengler | 2.Connor De Phillippi
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,30,GTD,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,Spencer Pumpelly,,,,Team Hardpoint Audi R8 LMS GT3 | GTD | 1.Rob Ferriol | 2.Spencer Pumpelly
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr | 2.Pipo Derani
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,44,GTD,GRT Magnus,Lamborghini Huracan GT3,John Potter,Andy Lally,,,,GRT Magnus Lamborghini Huracan GT3 | GTD | 1.John Potter | 2.Andy Lally
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Patrick Kelly,Simon Trummer,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly | 2.Simon Trummer
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,55,DPi,Mazda Motorsports,Mazda,Jonathan Bomarito,Harry Tincknell,,,,Mazda Motorsports Mazda DPi | DPi | 1.Jonathan Bomarito | 2.Harry Tincknell
