year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,1,DPi,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger van der Zande,1:16.674,69,89,,,105.078,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,2,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:16.777,42,64,0.103,0.103,104.937,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,3,DPi,6,ACURA TEAM PENSKE,Acura DPi,Dane Cameron,1:16.828,64,92,0.154,0.051,104.867,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,4,DPi,6,ACURA TEAM PENSKE,Acura DPi,Juan Pablo Montoya,1:16.921,5,27,0.247,0.093,104.740,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,5,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:16.928,35,65,0.254,0.007,104.731,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,6,DPi,7,ACURA TEAM PENSKE,Acura DPi,Ricky Taylor,1:16.962,82,92,0.288,0.034,104.685,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,7,DPi,77,Mazda Motorsports,Mazda DPi,Tristan Nunez,1:17.043,35,63,0.369,0.081,104.575,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,8,DPi,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:17.105,5,55,0.431,0.062,104.491,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,9,DPi,7,ACURA TEAM PENSKE,Acura DPi,Helio Castroneves,1:17.132,4,27,0.458,0.027,104.454,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,10,DPi,77,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:17.145,5,56,0.471,0.013,104.436,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,11,DPi,5,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:17.264,31,51,0.590,0.119,104.275,06_Fastest Lap By Driver_Race.PDF,1
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,12,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2 07,Simon Trummer,1:17.422,30,30,0.748,0.158,104.063,06_Fastest Lap By Driver_Race.PDF,1
