year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,1,60,1:33.516,0.000,0.000,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,2,10,1:35.417,1.901,1.901,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,3,48,1:36.550,3.034,3.034,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,4,01,1:36.976,3.460,3.460,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,5,5,1:37.730,4.214,4.214,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,6,31,1:38.188,4.672,4.672,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,7,55,1:38.474,4.958,4.958,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,8,11,1:43.544,10.028,10.028,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,9,18,1:45.466,11.950,11.950,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,10,22,1:47.307,13.791,13.791,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,11,52,1:47.819,14.303,14.303,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,12,36,1:50.806,17.290,17.290,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,13,2,1:51.088,17.572,17.572,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,14,38,1:51.640,18.124,18.124,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,15,54,1:52.005,18.489,18.489,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,16,74,1:53.034,19.518,19.518,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,17,91,1:55.976,22.460,22.460,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,18,4,2:10.867,37.351,37.351,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,19,3,2:11.869,38.353,38.353,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,20,25,2:12.786,39.270,39.270,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,21,24,2:13.309,39.793,39.793,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,22,79,2:14.790,41.274,41.274,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,23,14,2:16.285,42.769,42.769,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,24,16,2:17.073,43.557,43.557,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,25,42,2:17.675,44.159,44.159,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,26,12,2:18.257,44.741,44.741,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,27,96,2:18.748,45.232,45.232,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,28,28,2:19.028,45.512,45.512,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,29,19,2:19.227,45.711,45.711,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,30,9,2:19.584,46.068,46.068,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,31,39,2:19.945,46.429,46.429,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,32,23,2:20.532,47.016,47.016,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,33,1,2:20.997,47.481,47.481,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,34,88,2:21.810,48.294,48.294,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,35,44,2:22.222,48.706,48.706,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,36,75,2:22.977,49.461,49.461,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,37,84,2:23.078,49.562,49.562,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,1,60,1:33.481,,,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,2,10,1:33.130,1.550,1.550,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,3,48,1:33.251,2.804,2.804,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,4,01,1:33.535,3.514,3.514,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,5,5,1:34.498,5.231,5.231,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,6,31,1:34.431,5.622,5.622,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,7,55,1:34.489,5.966,5.966,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,8,11,1:37.861,14.408,14.408,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,9,18,1:40.707,19.176,19.176,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,10,52,1:38.429,19.251,19.251,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,1,11,8,3:28.581,1 Lap,,1,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,12,22,1:44.241,24.551,24.551,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,13,36,1:45.243,29.052,29.052,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,14,2,1:45.370,29.461,29.461,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,15,38,1:45.933,30.576,30.576,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,16,54,1:46.191,31.199,31.199,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,17,74,1:46.019,32.056,32.056,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,18,91,1:46.328,35.307,35.307,,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,19,4,1:43.629,47.499,47.499,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,20,3,1:43.020,47.892,47.892,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,21,25,1:43.981,49.770,49.770,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,22,24,1:44.100,50.412,50.412,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,23,79,1:44.871,52.664,52.664,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,24,14,1:47.879,57.167,57.167,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,25,16,1:47.830,57.906,57.906,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,26,42,1:48.255,58.933,58.933,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,27,12,1:48.034,59.294,59.294,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,28,96,1:48.136,59.887,59.887,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,29,28,1:48.468,1:00.499,60.499,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,30,19,1:49.124,1:01.354,61.354,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,31,9,1:49.178,1:01.765,61.765,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,32,39,1:49.093,1:02.041,62.041,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,33,23,1:49.766,1:03.301,63.301,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,34,1,1:49.692,1:03.692,63.692,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,35,88,1:49.972,1:04.785,64.785,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,36,44,1:50.765,1:05.990,65.990,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,37,75,1:50.619,1:06.599,66.599,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,38,84,2:01.128,1:17.209,77.209,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,3,1,60,1:32.191,,,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,3,2,10,1:32.080,1.439,1.439,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,3,3,48,1:32.103,2.716,2.716,,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,3,4,01,1:32.531,3.854,3.854,,1,2
