year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,1,R. van der Zande,10:40:37,11:27:57,TRACK,47:19.551,47:19.551,47:19.551,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,R. van der Zande,11:27:57,11:29:02,PIT,1:05.396,47:19.551,48:24.947,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,2,R. van der Zande,11:29:02,12:08:02,TRACK,38:59.880,1:26:19.431,1:27:24.827,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,,12:08:02,12:09:07,PIT,1:05.610,,1:05.610,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,3,K. Magnussen,12:09:07,12:40:21,TRACK,31:13.410,31:13.410,31:13.410,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,K. Magnussen,12:40:21,12:41:16,PIT,55.457,31:13.410,32:08.867,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,4,K. Magnussen,12:41:16,13:22:29,TRACK,41:12.516,1:12:25.926,1:13:21.383,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,K. Magnussen,13:22:29,13:23:33,PIT,1:04.001,1:12:25.926,1:14:25.384,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,5,K. Magnussen,13:23:33,13:28:35,TRACK,5:01.984,1:17:27.910,1:19:27.368,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,,13:28:35,13:29:33,PIT,58.430,,2:04.040,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,6,R. van der Zande,13:29:33,14:08:49,TRACK,39:15.428,2:05:34.859,2:06:40.255,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,R. van der Zande,14:08:49,14:09:50,PIT,1:01.543,2:05:34.859,2:07:41.798,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,7,R. van der Zande,14:09:50,14:45:32,TRACK,35:41.418,2:41:16.277,2:43:23.216,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,,14:45:32,14:46:43,PIT,1:10.899,,3:14.939,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,8,K. Magnussen,14:46:43,15:24:07,TRACK,37:24.355,1:54:52.265,1:56:51.723,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,K. Magnussen,15:24:07,15:25:10,PIT,1:02.794,1:54:52.265,1:57:54.517,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,9,K. Magnussen,15:25:10,15:47:21,TRACK,22:11.015,2:17:03.280,2:20:05.532,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,,K. Magnussen,15:47:21,15:48:07,PIT,46.200,2:17:03.280,2:20:51.732,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,10,K. Magnussen,15:48:07,16:39:22,TRACK,51:15.488,3:08:18.768,3:12:07.220,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,C. Lewis,10:40:37,11:05:01,TRACK,24:24.064,24:24.064,24:24.064,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,,C. Lewis,11:05:01,11:05:47,PIT,46.349,24:24.064,25:10.413,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,C. Lewis,11:05:47,12:05:29,TRACK,59:41.492,1:24:05.556,1:24:51.905,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,,C. Lewis,12:05:29,12:06:42,PIT,1:12.657,1:24:05.556,1:26:04.562,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,3,C. Lewis,12:06:42,12:43:51,TRACK,37:09.424,2:01:14.980,2:03:13.986,20_Drive Time_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,K. Magnussen 3:48.452 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,,,12:43:51,12:44:51,PIT,59.876,,59.876,20_Drive Time_Race.PDF,1,1
