year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Renger van der Zande,1:31.564,79,97,,,133.677,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Dane Cameron,1:31.571,100,102,0.007,0.007,133.666,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:31.739,22,80,0.175,0.168,133.422,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Ricky Taylor,1:31.887,14,67,0.323,0.148,133.207,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,DPi,31,Whelen Engineering Racing,Cadillac DPi,Mike Conway,1:31.909,22,49,0.345,0.022,133.175,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,6,DPi,48,Ally Cadillac Racing,Cadillac DPi,Kamui Kobayashi,1:31.917,14,99,0.353,0.008,133.163,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,7,DPi,55,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:31.931,46,76,0.367,0.014,133.143,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,8,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:31.979,49,65,0.415,0.048,133.073,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,9,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Olivier Pla,1:32.108,24,98,0.544,0.129,132.887,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,10,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:32.111,17,86,0.547,0.003,132.883,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,11,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Kevin Magnussen,1:32.129,59,102,0.565,0.018,132.857,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,12,DPi,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:32.180,8,44,0.616,0.051,132.783,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,13,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Filipe Albuquerque,1:32.191,22,66,0.627,0.011,132.767,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,14,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Alexander Rossi,1:32.246,61,67,0.682,0.055,132.688,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,15,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Loic Duval,1:32.323,61,81,0.759,0.077,132.578,06_Fastest Lap By Driver_Race.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,16,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Sebastien Bourdais,1:32.545,16,48,0.981,0.222,132.259,06_Fastest Lap By Driver_Race.PDF,1
