year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,1,11:27:57.041,R. van der Zande,11:29:02.437,R. van der Zande,1:05.396,1:05.396,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,2,12:08:02.317,R. van der Zande,12:09:07.927,K. Magnussen,1:05.610,2:11.006,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,3,12:40:21.337,K. Magnussen,12:41:16.794,K. Magnussen,55.457,3:06.463,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,4,13:22:29.310,K. Magnussen,13:23:33.311,K. Magnussen,1:04.001,4:10.464,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,5,13:28:35.295,K. Magnussen,13:29:33.725,R. van der Zande,58.430,5:08.894,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,6,14:08:49.153,R. van der Zande,14:09:50.696,R. van der Zande,1:01.543,6:10.437,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,7,14:45:32.114,R. van der Zande,14:46:43.013,K. Magnussen,1:10.899,7:21.336,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,8,15:24:07.368,K. Magnussen,15:25:10.162,K. Magnussen,1:02.794,8:24.130,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,9,15:47:21.177,K. Magnussen,15:48:07.377,K. Magnussen,46.200,9:10.330,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,11:05:01.554,C. Lewis,11:05:47.903,C. Lewis,46.349,46.349,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,12:05:29.395,C. Lewis,12:06:42.052,C. Lewis,1:12.657,1:59.006,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,3,12:43:51.476,C. Lewis,12:44:51.352,M. Snow,59.876,2:58.882,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,4,13:25:28.347,M. Snow,13:26:24.706,M. Snow,56.359,3:55.241,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,5,14:25:18.282,M. Snow,14:26:28.475,B. Sellers,1:10.193,5:05.434,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,6,14:55:22.724,B. Sellers,14:56:16.728,B. Sellers,54.004,5:59.438,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,9 K. Magnussen K. Magnussen 46.200 9:10.330 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,7,15:50:36.378,B. Sellers,15:51:31.820,B. Sellers,55.442,6:54.880,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,1,11:48:07.029,A. McCusker,11:49:23.829,A. McCusker,1:16.800,1:16.800,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,2,12:06:40.788,A. McCusker,12:08:21.730,A. McCusker,1:40.942,2:57.742,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,3,12:33:54.299,A. McCusker,12:37:20.560,E. Cauhaupe,3:26.261,6:24.003,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,4,12:54:16.699,E. Cauhaupe,12:55:48.024,E. Cauhaupe,1:31.325,7:55.328,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,5,13:22:36.387,E. Cauhaupe,13:23:27.397,E. Cauhaupe,51.010,8:46.338,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,6,14:20:05.681,E. Cauhaupe,14:21:24.275,E. Cauhaupe,1:18.594,10:04.932,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,7,14:58:09.503,E. Cauhaupe,14:59:32.243,N. Kruetten,1:22.740,11:27.672,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,8,15:47:30.498,N. Kruetten,15:48:26.755,N. Kruetten,56.257,12:23.929,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,7 B. Sellers B. Sellers 55.442 6:54.880 | United Autosports USA | Ligier JS P320 LMP3,9,15:54:07.079,N. Kruetten,15:55:10.922,N. Kruetten,1:03.843,13:27.772,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,11:49:51.837,A. Garcia,11:50:57.646,J. Taylor,1:05.809,1:05.809,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,2,12:43:54.549,J. Taylor,12:44:52.523,J. Taylor,57.974,2:03.783,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,3,13:25:24.521,J. Taylor,13:26:16.171,J. Taylor,51.650,2:55.433,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,4,14:19:30.197,J. Taylor,14:20:31.463,A. Garcia,1:01.266,3:56.699,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,5,15:13:48.248,A. Garcia,15:14:50.000,A. Garcia,1:01.752,4:58.451,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,9 N. Kruetten N. Kruetten 1:03.843 13:27.772 | Corvette Racing | Chevrolet Corvette C8.R GTLM,6,15:50:45.386,A. Garcia,15:51:36.702,A. Garcia,51.316,5:49.767,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,1,11:46:23.537,T. Milner,11:47:29.023,N. Tandy,1:05.486,1:05.486,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,2,12:43:54.060,N. Tandy,12:44:54.631,T. Milner,1:00.571,2:06.057,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,3,13:25:25.403,T. Milner,13:26:14.738,T. Milner,49.335,2:55.392,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,4,14:28:06.441,T. Milner,14:29:10.814,N. Tandy,1:04.373,3:59.765,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,5,15:15:31.951,N. Tandy,15:16:31.878,N. Tandy,59.927,4:59.692,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,6 A. Garcia A. Garcia 51.316 5:49.767 | Corvette Racing | Chevrolet Corvette C8.R GTLM,6,15:50:43.385,N. Tandy,15:51:35.877,N. Tandy,52.492,5:52.184,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,6 N. Tandy N. Tandy 52.492 5:52.184 | Mustang Sampling / JDC-Miller MotorSports | Cadillac DPi DPi,1,11:25:11.925,T. Vautier,11:26:13.775,T. Vautier,1:01.850,1:01.850,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,6 N. Tandy N. Tandy 52.492 5:52.184 | Mustang Sampling / JDC-Miller MotorSports | Cadillac DPi DPi,2,12:02:40.165,T. Vautier,12:03:47.007,L. Duval,1:06.842,2:08.692,20_Pit Stops Time Cards_Race.PDF,1,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,6 N. Tandy N. Tandy 52.492 5:52.184 | Mustang Sampling / JDC-Miller MotorSports | Cadillac DPi DPi,3,12:40:33.662,L. Duval,12:41:33.966,L. Duval,1:00.304,3:08.996,20_Pit Stops Time Cards_Race.PDF,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,6 N. Tandy N. Tandy 52.492 5:52.184 | Mustang Sampling / JDC-Miller MotorSports | Cadillac DPi DPi,4,13:22:31.435,L. Duval,13:23:26.655,S. Bourdais,55.220,4:04.216,20_Pit Stops Time Cards_Race.PDF,1,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,6 N. Tandy N. Tandy 52.492 5:52.184 | Mustang Sampling / JDC-Miller MotorSports | Cadillac DPi DPi,5,14:07:29.025,S. Bourdais,14:08:31.614,S. Bourdais,1:02.589,5:06.805,20_Pit Stops Time Cards_Race.PDF,1,2
