year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,1,1,55,DPi,,O. Jarvis / H. Tincknell J. Bomarito,Mazda Motorsports,Mazda DPi,200,6:00:04.522,-,,,48,1:31.739,133.422,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,2,2,60,DPi,,D. Cameron / O. Pla,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,200,6:00:05.487,0.965,0.965,,160,1:31.571,133.666,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,3,3,10,DPi,,R. Taylor / F. Albuquerque A. Rossi,Konica Minolta Acura ARX-05,Acura DPi,200,6:00:13.914,9.392,8.427,,14,1:31.887,133.207,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,4,4,31,DPi,,F. Nasr / M. Conway / P. Derani,Whelen Engineering Racing,Cadillac DPi,200,6:00:22.790,18.268,8.876,,133,1:31.909,133.175,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,5,5,48,DPi,,J. Johnson / K. Kobayashi S. Pagenaud,Ally Cadillac Racing,Cadillac DPi,200,6:00:57.738,53.216,34.948,,14,1:31.917,133.163,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,6,6,01,DPi,,R. van der Zande / K. Magnussen,Cadillac Chip Ganassi Racing,Cadillac DPi,199,5:58:45.375,1 Lap,1,Not Running,118,1:31.564,133.677,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,7,7,5,DPi,,T. Vautier / L. Duval / S. Bourdais,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,199,6:00:07.187,1 Lap,1:21.812,,179,1:32.323,132.578,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,8,1,11,LMP2,,S. Thomas / T. Nunez / T. Merrill,WIN Autosport,ORECA LMP2 07,196,6:00:54.756,4 Laps,3,,152,1:33.215,131.309,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,9,2,52,LMP2,,B. Keating / M. Jensen / S. Huffaker,PR1 Mathiasen Motorsports,ORECA LMP2 07,196,6:00:55.895,4 Laps,1.139,,179,1:33.187,131.348,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,10,3,22,LMP2,,J. McGuire / W. Boyd / G. Smith,United Autosports,ORECA LMP2 07,193,6:01:13.730,7 Laps,3,,93,1:34.224,129.903,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,11,1,3,GTLM,,A. Garcia / J. Taylor,Corvette Racing,Chevrolet Corvette C8.R,187,6:00:41.332,13 Laps,6,,72,1:42.179,119.789,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,12,2,24,GTLM,,J. Edwards / J. Krohn / A. Farfus,BMW Team RLL,BMW M8 GTE,187,6:00:42.177,13 Laps,0.845,,115,1:42.198,119.767,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,13,3,25,GTLM,,C. De Phillippi / P. Eng B. Spengler,BMW Team RLL,BMW M8 GTE,187,6:00:53.541,13 Laps,11.364,,141,1:42.295,119.653,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,14,4,4,GTLM,,T. Milner / N. Tandy,Corvette Racing,Chevrolet Corvette C8.R,187,6:00:56.107,13 Laps,2.566,,147,1:41.797,120.239,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,15,1,74,LMP3,,G. Robinson / F. Fraga / S. Andrews,Riley Motorsports,Ligier JS P320,186,6:00:10.601,14 Laps,1,,170,1:41.171,120.983,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,16,2,54,LMP3,,J. Bennett / G. Kurtz / C. Braun,Core Autosport,Ligier JS P320,186,6:00:12.236,14 Laps,1.635,,169,1:41.275,120.859,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,17,3,91,LMP3,,J. Cox / D. Murry / J. Bleekemolen,Riley Motorsports,Ligier JS P320,186,6:00:45.517,14 Laps,33.281,,89,1:41.945,120.064,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,18,4,36,LMP3,,J. Andretti / O. Askew / M. Andretti,Andretti Autosport,Ligier JS P320,185,6:01:03.807,15 Laps,1,,182,1:41.160,120.996,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,19,5,2,LMP3,,N. Kruetten / E. Cauhaupe A. McCusker,United Autosports USA,Ligier JS P320,183,6:00:52.933,17 Laps,2,,15,1:42.583,119.318,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,20,1,96,GTD,,B. Auberlen / R. Foley / A. Read,Turner Motorsport,BMW M6 GT3,179,6:00:31.981,21 Laps,4,,67,1:47.196,114.183,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,21,2,1,GTD,,B. Sellers / M. Snow / C. Lewis,Paul Miller Racing,Lamborghini Huracan GT3,179,6:00:37.728,21 Laps,5.747,,53,1:47.222,114.155,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,22,3,23,GTD,,R. De Angelis / R. Gunn / I. James,Heart Of Racing Team,Aston Martin Vantage GT3,179,6:00:43.285,21 Laps,5.557,,172,1:47.144,114.238,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,23,4,42,GTD,,D. Yount / J. Conwright M. Palttala,NTE Sport,Audi R8 LMS GT3,179,6:00:50.931,21 Laps,7.646,,174,1:47.537,113.821,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,24,5,28,GTD,,D. Morad / M. de Quesada B. Johnson,Alegra Motorsports,Mercedes-AMG GT3,179,6:00:51.502,21 Laps,0.571,,14,1:47.623,113.730,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,25,6,14,GTD,,A. Telitz / J. Hawksworth K. Kirkwood,Vasser Sullivan,Lexus RC F GT3,179,6:00:51.763,21 Laps,0.261,,44,1:47.229,114.148,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,26,7,9,GTD,,Z. Robichon / L. Vanthoor / L. Kern,Pfaff Motorsports,Porsche 911 GT3R,179,6:00:52.123,21 Laps,0.360,,130,1:47.323,114.048,03_Results_Race_Official.PDF,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,27,8,16,GTD,,P. Long / T. Hindman / J. Heylen,Wright Motorsports,Porsche 911 GT3R,179,6:00:52.410,21 Laps,0.287,,67,1:47.035,114.355,03_Results_Race_Official.PDF,2
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,28,9,39,GTD,,R. Heistand / J. Westphal T. McQuarrie,CarBahn with Peregrine Racing,Audi R8 LMS GT3,179,6:00:52.838,21 Laps,0.428,,32,1:47.404,113.962,03_Results_Race_Official.PDF,2
