year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,660b16659d23a1c5d2c66b5af993a2ebebdb198306e34fd3296ff033a565adc9,230304,results,preferred,existing,reports-1,2,38,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,4c4793298074809fcd80bdd09d74255caba319525d0a3e10ac19275d2cd356bf,230290,results,alternate,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,8967042f0da79df7b1ccff79e91355a4cda86d0ea1ef8e7681013f7381858b35,145576,results,alternate,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,22ee029bbd003792a49cbfb18026bd6add3d2cafd25e511ef746078b1054b105,227571,,unsupported,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,ca8a00a1eea5bb5c7c8d1c2bbd60ce13cb8dc8ce98ef2794ba66c126ef27a551,142354,,unsupported,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,ca8a00a1eea5bb5c7c8d1c2bbd60ce13cb8dc8ce98ef2794ba66c126ef27a551,142354,,unsupported,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,87cb626638dcda155499a66b1f33cbcdf5637e2f24a5689ba0b79f2022f70f96,124904,fastest_laps_by_driver,preferred,existing,reports-1,4,110,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,0f7946907780aaab4312d0c7aaed87c409007fa34f061c41f29449a1c22ceb87,111106,,unsupported,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,172d85a5b74b2c39ff6c04a2f9c62f4f749b1179dde54f087abec64cc3187a5c,122658,,unsupported,existing,,,,
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/21_2021/12_6H%20-%20Watkins%20Glen%20International/01_IMSA%20WeatherTech%20SportsCar%20Championship/202106271040_Race/06_Hour%206/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,bb18dc30af7eec7d0b6fffae328f31b3ae7f6de768d9bec654bb6a64150413b8,185268,,unsupported,existing,,,,
