year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,1,1,Renger van der Zande,1:36.976,23.399,36.878,36.699,126.216,1:36.976,,,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,2,1,Renger van der Zande,1:33.535,21.885,35.085,36.565,130.860,3:10.511,93535,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,3,1,Renger van der Zande,1:32.531,21.792,34.538,36.201,132.280,4:43.042,92531,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,4,1,Renger van der Zande,1:32.557,21.745,34.479,36.333,132.242,6:15.599,92557,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,5,1,Renger van der Zande,2:00.693,21.713,35.745,1:03.235,101.414,8:16.292,120693,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,6,1,Renger van der Zande,3:48.482,52.311,1:30.734,1:25.437,53.570,12:04.774,228482,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,7,1,Renger van der Zande,3:57.929,1:04.570,1:26.821,1:26.538,51.443,16:02.703,237929,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,8,1,Renger van der Zande,3:18.490,59.881,1:13.887,1:04.722,61.665,19:21.193,198490,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,9,1,Renger van der Zande,3:02.582,46.315,1:12.348,1:03.919,67.038,22:23.775,182582,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,10,1,Renger van der Zande,1:34.899,22.482,35.538,36.879,128.979,23:58.674,94899,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,11,1,Renger van der Zande,1:33.048,21.811,34.956,36.281,131.545,25:31.722,93048,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,12,1,Renger van der Zande,1:32.459,21.739,34.686,36.034,132.383,27:04.181,92459,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,13,1,Renger van der Zande,1:32.777,21.728,34.778,36.271,131.929,28:36.958,92777,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,14,1,Renger van der Zande,1:32.110,21.782,34.506,35.822,132.884,30:09.068,92110,0,0,1
2021,12_6H - Watkins Glen International,6H - Watkins Glen International,6h-watkins-glen-international,2021-06-27,202106271040_Race,01,15,1,Renger van der Zande,1:34.023,21.763,35.301,36.959,130.180,31:43.091,94023,0,0,1
