year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,01,DPi,Cadillac Chip Ganassi Racing,Cadillac,Renger van der Zande,Kevin Magnussen,Scott Dixon,,,Cadillac Chip Ganassi Racing Cadillac DPi | DPi | 1.Renger van der Zande 3.Scott Dixon | 2.Kevin Magnussen
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,1,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Corey Lewis,Andrea Caldarelli,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow 4.Andrea Caldarelli
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,3,GTLM,Corvette Racing,Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Corvette C8.R | GTLM | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,4,GTLM,Corvette Racing,Corvette C8.R,Tommy Milner,Nick Tandy,Alexander Sims,,,Corvette Racing Corvette C8.R | GTLM | 1.Tommy Milner 3.Alexander Sims | 2.Nick Tandy
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,5,DPi,Mustang Sampling / JDC-Miller MotorSports,Cadillac,Tristan Vautier,Loic Duval,Sebastien Bourdais,,,Mustang Sampling / JDC-Miller Cadillac DPi | MotorSports DPi | 1.Tristan Vautier 3.Sebastien Bourdais | 2.Loic Duval
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,6,LMP3,Muehlner Motorsports America,Duqueine D08,Moritz Kranz,Laurents Hoerr,Kenton Koch,Stevan McAleer,,Muehlner Motorsports America Duqueine D08 | LMP3 | 1.Moritz Kranz 3.Kenton Koch | 2.Laurents Hoerr 4.Stevan McAleer
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,7,LMP3,Forty7 Motorsports,Duqueine D08,Mark Kvamme,Ryan Norman,Gabby Chaves,Trenton Estep,,Forty7 Motorsports Duqueine D08 | LMP3 | 1.Mark Kvamme 3.Gabby Chaves | 2.Ryan Norman 4.Trenton Estep
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Gabriel Aubry,Tim Buret,Matthieu Vaxiviere,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano 3.Tim Buret | 2.Gabriel Aubry 4.Matthieu Vaxiviere
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3R,Zacharie Robichon,Laurens Vanthoor,Lars Kern,Matt Campbell,,Pfaff Motorsports Porsche 911 GT3R | GTD | 1.Zacharie Robichon 3.Lars Kern | 2.Laurens Vanthoor 4.Matt Campbell
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,Alexander Rossi,Helio Castroneves,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor 3.Alexander Rossi | 2.Filipe Albuquerque 4.Helio Castroneves
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,11,LMP2,WIN Autosport,ORECA 07,Steven Thomas,Tristan Nunez,Thomas Merrill,Matthew Bell,,WIN Autosport ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Thomas Merrill | 2.Tristan Nunez 4.Matthew Bell
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Robert Megennis,Zach Veach,Townsend Bell,Frankie Montecalvo,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Robert Megennis 3.Townsend Bell | 2.Zach Veach 4.Frankie Montecalvo
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,14,GTD,Vasser Sullivan,Lexus RC F GT3,Aaron Telitz,Oliver Gavin,Kyle Kirkwood,Jack Hawksworth,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Aaron Telitz 3.Kyle Kirkwood | 2.Oliver Gavin 4.Jack Hawksworth
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Trent Hindman,Patrick Long,Jan Heylen,Klaus Bachler,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Trent Hindman 3.Jan Heylen | 2.Patrick Long 4.Klaus Bachler
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Kyle Tilley,Ryan Dalziel,Paul-Loup Chatin,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Ryan Dalziel | 2.Kyle Tilley 4.Paul-Loup Chatin
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,19,GTD,GRT Grasser Racing Team,Lamborghini Huracan GT3,Misha Goikhberg,Franck Perera,Albert Costa,Tim Zimmermann,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Misha Goikhberg 3.Albert Costa | 2.Franck Perera 4.Tim Zimmermann
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,20,LMP2,High Class Racing,ORECA 07,Dennis Andersen,Ferdinand Habsburg-Lothringen,Anders Fjordbach,Robert Kubica,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen 3.Anders Fjordbach | 2.Ferdinand Habsburg-Lothringen 4.Robert Kubica
