year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,time_cards,rows,pass,33029,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,time_cards,duplicate_car_lap_keys,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,time_cards,rows_without_car_header,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,time_cards,elapsed_delta_match_rate,pass,1.000000,32980/32980
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,time_cards,lap_number_gaps,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,rows,pass,33027,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,duplicate_car_lap_keys,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,unmatched_analysis_rows,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,rows_without_lap_header,pass,0,
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,time_card_key_coverage,pass,1.000000,33027/33027
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,analysis_by_lap,lap_time_match_rate,pass,1.000000,33027/33027
