year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,M. Snow,15:10:35,15:51:14,TRACK,40:38.822,40:38.822,40:38.822,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,,15:51:14,15:52:00,PIT,46.160,,46.160,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,M. Snow,15:52:00,16:40:11,TRACK,48:10.823,1:28:49.645,1:28:49.645,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,J. Taylor,15:10:35,15:47:51,TRACK,37:15.580,37:15.580,37:15.580,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,15:47:51,15:48:29,PIT,38.004,,38.004,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,J. Taylor,15:48:29,16:31:55,TRACK,43:26.151,1:20:41.731,1:20:41.731,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,16:31:55,16:32:38,PIT,43.332,,1:21.336,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,3,A. Garcia,16:32:38,16:40:11,TRACK,7:32.738,7:32.738,7:32.738,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,4,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,T. Milner,15:10:35,15:47:03,TRACK,36:27.115,36:27.115,36:27.115,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,4,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,15:47:03,15:47:43,PIT,40.942,,40.942,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,4,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,T. Milner,15:47:43,16:30:15,TRACK,42:31.375,1:18:58.490,1:18:58.490,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,4,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,16:30:15,16:31:00,PIT,45.569,,1:26.511,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,4,Corvette Racing | Chevrolet Corvette C8.R GTLM,3,N. Tandy,16:31:00,16:40:11,TRACK,9:10.804,9:10.804,9:10.804,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,9,Pfaff Motorsports | Porsche 911 GT3R GTD,1,Z. Robichon,15:10:35,16:00:19,TRACK,49:43.279,49:43.279,49:43.279,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,9,Pfaff Motorsports | Porsche 911 GT3R GTD,,,16:00:19,16:01:11,PIT,52.799,,52.799,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,9,Pfaff Motorsports | Porsche 911 GT3R GTD,2,L. Vanthoor,16:01:11,16:40:11,TRACK,38:59.727,38:59.727,38:59.727,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,12,VASSER SULLIVAN | Lexus RC F GT3 GTD,1,F. Montecalvo,15:10:35,15:56:07,TRACK,45:31.796,45:31.796,45:31.796,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,12,VASSER SULLIVAN | Lexus RC F GT3 GTD,,,15:56:07,15:56:59,PIT,51.907,,51.907,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,12,VASSER SULLIVAN | Lexus RC F GT3 GTD,2,Z. Veach,15:56:59,16:40:11,TRACK,43:12.102,43:12.102,43:12.102,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,14,VASSER SULLIVAN | Lexus RC F GT3 GTD,1,A. Telitz,15:10:35,15:56:38,TRACK,46:02.534,46:02.534,46:02.534,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,14,VASSER SULLIVAN | Lexus RC F GT3 GTD,,,15:56:38,15:57:26,PIT,47.952,,47.952,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,14,VASSER SULLIVAN | Lexus RC F GT3 GTD,2,J. Hawksworth,15:57:26,16:40:11,TRACK,42:45.319,42:45.319,42:45.319,20_Drive Time_Race.PDF,1,1
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,1,T. Hindman,15:10:35,15:51:37,TRACK,41:01.968,41:01.968,41:01.968,20_Drive Time_Race.PDF,1,2
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,,,15:51:37,15:52:25,PIT,47.118,,47.118,20_Drive Time_Race.PDF,1,2
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,2,T. Hindman,15:52:25,16:40:11,TRACK,47:46.719,1:28:48.687,1:28:48.687,20_Drive Time_Race.PDF,1,2
2021,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2021-07-17,202107171510_Race,19,GRT Grasser Racing Team | Lamborghini Huracan GT3 GTD,1,M. Goikhberg,15:10:35,15:57:04,TRACK,46:28.568,46:28.568,46:28.568,20_Drive Time_Race.PDF,1,2
