year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,results,rows,pass,26,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,results,positions,pass,26,"first=[1, 2, 3] last=[24, 25, 26]"
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,results,car_numbers,pass,26,not in entries: []
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,results,best_lap_time_card_match,pass,26/26,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,results,classified_laps_time_card_match,warn,25/26,official penalties and incomplete time cards can differ
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,fastest_laps_by_driver,rows,pass,52,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,fastest_laps_by_driver,positions,pass,52,"first=[1, 2, 3] last=[50, 51, 52]"
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,fastest_laps_by_driver,car_numbers,pass,26,not in entries: []
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,fastest_laps_by_driver,time_card_lap_match,pass,51/51,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,fastest_laps_by_driver,time_card_driver_match,pass,51/51,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,drive_time,rows,pass,86,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,drive_time,car_numbers,pass,26,not in entries: []
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,drive_time,segment_continuity,pass,60/60,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,pit_stops,rows,pass,29,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,pit_stops,car_numbers,pass,25,not in entries: []
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,pit_stops,clock_duration_match,pass,29/29,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,pit_stops,cumulative_duration_match,pass,29/29,
2021,18_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2021-09-25,202109251405_Race,flags_analysis,source,not_available,0,report not published for this race
