year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,DPi,Cadillac Chip Ganassi Racing,Cadillac,Renger van der Zande,Earl Bamber,Scott Dixon,,,Cadillac Chip Ganassi Racing Cadillac DPi | DPi | 1.Renger van der Zande 3.Scott Dixon | 2.Earl Bamber
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,1,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Corey Lewis,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,2,LMP3,United Autosports USA,Ligier JS P320,Niklas Kruetten,Tom Gamble,Andrew Meyrick,,,United Autosports USA Ligier JS P320 | LMP3 | 1.Niklas Kruetten 3.Andrew Meyrick | 2.Tom Gamble
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Tommy Milner,Nick Tandy,Alexander Sims,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Tommy Milner 3.Alexander Sims | 2.Nick Tandy
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,5,DPi,Mustang Sampling / JDC-Miller MotorSports,Cadillac,Tristan Vautier,Loic Duval,Sebastien Bourdais,,,Mustang Sampling / JDC-Miller Cadillac DPi | MotorSports DPi | 1.Tristan Vautier 3.Sebastien Bourdais | 2.Loic Duval
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,7,LMP3,Forty7 Motorsports,Duqueine D08,Rodrigo Pflucker,Mark Kvamme,Stefan Rzadzinski,,,Forty7 Motorsports Duqueine D08 | LMP3 | 1.Rodrigo Pflucker 3.Stefan Rzadzinski | 2.Mark Kvamme
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Gabriel Aubry,James French,,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano 3.James French | 2.Gabriel Aubry
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3R,Zacharie Robichon,Laurens Vanthoor,Lars Kern,,,Pfaff Motorsports Porsche 911 GT3R | GTD | 1.Zacharie Robichon 3.Lars Kern | 2.Laurens Vanthoor
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,Alexander Rossi,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor 3.Alexander Rossi | 2.Filipe Albuquerque
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,11,LMP2,WIN Autosport,ORECA 07,Steven Thomas,Tristan Nunez,Thomas Merrill,,,WIN Autosport ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Thomas Merrill | 2.Tristan Nunez
