year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,1,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:46.151,56,96,,,126.837,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,2,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Renger van der Zande,1:46.151,56,154,0.000,0.000,126.837,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,3,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Kevin Magnussen,1:46.297,35,86,0.146,0.146,126.663,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,4,DPi,48,Ally Cadillac Racing,Cadillac DPi,Kamui Kobayashi,1:46.424,16,132,0.273,0.127,126.512,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,5,DPi,48,Ally Cadillac Racing,Cadillac DPi,Simon Pagenaud,1:46.512,13,148,0.361,0.088,126.407,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,6,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Olivier Pla,1:46.641,73,133,0.490,0.129,126.255,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,7,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Alexander Rossi,1:46.654,60,116,0.503,0.013,126.239,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,8,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Ricky Taylor,1:46.658,50,100,0.507,0.004,126.234,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,9,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Loic Duval,1:46.679,14,129,0.528,0.021,126.210,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,10,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:46.817,14,105,0.666,0.138,126.047,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,11,DPi,55,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:46.841,38,124,0.690,0.024,126.018,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,12,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Scott Dixon,1:46.856,101,107,0.705,0.015,126.001,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,13,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Sebastien Bourdais,1:47.006,77,106,0.855,0.150,125.824,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,14,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:47.029,67,114,0.878,0.023,125.797,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,15,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:47.063,73,126,0.912,0.034,125.757,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,16,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Dane Cameron,1:47.139,3,113,0.988,0.076,125.668,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,17,DPi,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:47.189,87,99,1.038,0.050,125.609,06_Fastest Lap By Driver_Race.PDF,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,18,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Filipe Albuquerque,1:47.316,15,133,1.165,0.127,125.460,06_Fastest Lap By Driver_Race.PDF,1
