year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,1,10:53:27.525,R. van der Zande,10:54:34.909,R. van der Zande,1:07.384,1:07.384,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,2,11:34:24.404,R. van der Zande,11:35:31.737,K. Magnussen,1:07.333,2:14.717,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,3,12:13:45.548,K. Magnussen,12:14:59.429,K. Magnussen,1:13.881,3:28.598,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,4,12:53:03.038,K. Magnussen,12:54:08.538,S. Dixon,1:05.500,4:34.098,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,5,13:18:02.465,S. Dixon,13:19:02.378,S. Dixon,59.913,5:34.011,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,6,14:25:48.153,S. Dixon,14:26:53.777,S. Dixon,1:05.624,6:39.635,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,7,15:04:54.377,S. Dixon,15:06:00.122,R. van der Zande,1:05.745,7:45.380,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,8,15:45:47.149,R. van der Zande,15:46:55.842,R. van der Zande,1:08.693,8:54.073,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,9,16:26:35.356,R. van der Zande,16:27:41.503,R. van der Zande,1:06.147,10:00.220,20_Pit Stops Time Cards_Race.PDF,1,1
2021,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2021-03-20,202103201010_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,10,16:54:11.477,R. van der Zande,16:55:11.957,R. van der Zande,1:00.480,11:00.700,20_Pit Stops Time Cards_Race.PDF,1,1
