year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,M. Snow,12:10:34,13:05:50,TRACK,55:15.282,55:15.282,55:15.282,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,,13:05:50,13:06:54,PIT,1:04.159,,1:04.159,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,B. Sellers,13:06:54,13:33:08,TRACK,26:14.354,26:14.354,26:14.354,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,B. Sellers,13:33:08,13:33:52,PIT,44.080,26:14.354,26:58.434,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,3,B. Sellers,13:33:52,14:26:20,TRACK,52:27.459,1:18:41.813,1:19:25.893,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,B. Sellers,14:26:20,14:26:58,PIT,38.812,1:18:41.813,1:20:04.705,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,4,B. Sellers,14:26:58,14:50:34,TRACK,23:35.854,1:42:17.667,1:43:40.559,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,1,J. Taylor,12:10:34,13:02:03,TRACK,51:28.980,51:28.980,51:28.980,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,,13:02:03,13:03:12,PIT,1:09.144,,1:09.144,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,2,A. Garcia,13:03:12,13:29:29,TRACK,26:16.242,26:16.242,26:16.242,20_Drive Time_Race.PDF,1,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,Corvette Racing | Chevrolet Corvette C8.R GTLM,,A. Garcia,13:29:29,13:30:08,PIT,38.905,26:16.242,26:55.147,20_Drive Time_Race.PDF,1,1
