year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Tommy Milner,Nick Tandy,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Tommy Milner | 2.Nick Tandy
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3R,Zacharie Robichon,Laurens Vanthoor,,,,Pfaff Motorsports Porsche 911 GT3R | GTD | 1.Zacharie Robichon | 2.Laurens Vanthoor
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,12,GTD,VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Zach Veach,,,,VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Zach Veach
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,14,GTD,VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Trent Hindman,Patrick Long,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Trent Hindman | 2.Patrick Long
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,19,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Misha Goikhberg,Franck Perera,,,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Misha Goikhberg | 2.Franck Perera
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Ross Gunn,,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Ross Gunn
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Ian James,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James | 2.Alex Riberas
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,28,GTD,Alegra Motorsports,Mercedes-AMG GT3,Daniel Morad,Michael de Quesada,,,,Alegra Motorsports Mercedes-AMG GT3 | GTD | 1.Daniel Morad | 2.Michael de Quesada
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,32,GTD,Gilbert/Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Guy Cosmo,,,,Gilbert/Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Guy Cosmo
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,39,GTD,CarBahn with Peregrine Racing,Audi R8 LMS GT3,Richard Heistand,Jeff Westphal,,,,CarBahn with Peregrine Racing Audi R8 LMS GT3 | GTD | 1.Richard Heistand | 2.Jeff Westphal
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,44,GTD,Magnus with Archangel,Acura NSX GT3,John Potter,Andy Lally,,,,Magnus with Archangel Acura NSX GT3 | GTD | 1.John Potter | 2.Andy Lally
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,66,GTD,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,Mario Farnbacher,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Till Bechtolsheimer | 2.Mario Farnbacher
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,79,GTLM,WeatherTech Racing,Porsche 911 RSR - 19,Cooper MacNeil,Kevin Estre,,,,WeatherTech Racing Porsche 911 RSR - 19 | GTLM | 1.Cooper MacNeil | 2.Kevin Estre
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,88,GTD,Team Hardpoint,Porsche 911 GT3R,Rob Ferriol,Katherine Legge,,,,Team Hardpoint Porsche 911 GT3R | GTD | 1.Rob Ferriol | 2.Katherine Legge
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen | 2.Robby Foley
