year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,1,GTLM,79,WeatherTech Racing,Porsche 911 RSR - 19,Kevin Estre,1:40.920,52,78,,,116.646,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,2,GTLM,3,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,1:41.056,35,57,0.136,0.136,116.489,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,3,GTLM,4,Corvette Racing,Chevrolet Corvette C8.R,Nick Tandy,1:41.218,45,72,0.298,0.162,116.303,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,4,GTLM,4,Corvette Racing,Chevrolet Corvette C8.R,Tommy Milner,1:41.929,10,15,1.009,0.711,115.491,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,5,GTLM,3,Corvette Racing,Chevrolet Corvette C8.R,Jordan Taylor,1:42.086,10,30,1.166,0.157,115.314,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,6,GTD,19,GRT Grasser Racing Team,Lamborghini Huracan GT3,Franck Perera,1:45.006,37,59,4.086,2.920,112.107,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,7,GTD,9,Pfaff Motorsports,Porsche 911 GT3R,Laurens Vanthoor,1:45.034,47,54,4.114,0.028,112.077,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,8,GTD,1,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,1:45.109,27,54,4.189,0.075,111.997,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,9,GTD,66,Gradient Racing,Acura NSX GT3,Mario Farnbacher,1:45.286,6,14,4.366,0.177,111.809,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,10,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Ross Gunn,1:45.289,26,56,4.369,0.003,111.806,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,11,GTD,96,Turner Motorsport,BMW M6 GT3,Bill Auberlen,1:45.297,29,57,4.377,0.008,111.797,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,12,GTLM,79,WeatherTech Racing,Porsche 911 RSR - 19,Cooper MacNeil,1:45.323,7,9,4.403,0.026,111.770,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,13,GTD,39,CarBahn with Peregrine Racing,Audi R8 LMS GT3,Jeff Westphal,1:45.338,35,56,4.418,0.015,111.754,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,14,GTD,27,Heart of Racing Team,Aston Martin Vantage GT3,Alex Riberas,1:45.345,33,54,4.425,0.007,111.746,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,15,GTD,16,Wright Motorsports,Porsche 911 GT3R,Patrick Long,1:45.578,12,41,4.658,0.233,111.500,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,16,GTD,28,Alegra Motorsports,Mercedes-AMG GT3,Daniel Morad,1:45.680,22,56,4.760,0.102,111.392,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,17,GTD,14,VASSER SULLIVAN,Lexus RC F GT3,Jack Hawksworth,1:45.733,24,54,4.813,0.053,111.336,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,18,GTD,16,Wright Motorsports,Porsche 911 GT3R,Trent Hindman,1:45.782,40,44,4.862,0.049,111.285,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,19,GTD,12,VASSER SULLIVAN,Lexus RC F GT3,Zach Veach,1:45.889,16,48,4.969,0.107,111.172,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,20,GTD,32,Gilbert/Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,1:45.922,26,58,5.002,0.033,111.138,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,21,GTD,1,Paul Miller Racing,Lamborghini Huracan GT3,Madison Snow,1:45.932,30,31,5.012,0.010,111.127,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,22,GTD,9,Pfaff Motorsports,Porsche 911 GT3R,Zacharie Robichon,1:45.987,7,31,5.067,0.055,111.069,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,23,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Roman De Angelis,1:46.027,13,29,5.107,0.040,111.028,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,24,GTD,39,CarBahn with Peregrine Racing,Audi R8 LMS GT3,Richard Heistand,1:46.146,13,29,5.226,0.119,110.903,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,25,GTD,96,Turner Motorsport,BMW M6 GT3,Robby Foley,1:46.172,22,27,5.252,0.026,110.876,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,26,GTD,88,Team Hardpoint,Porsche 911 GT3R,Katherine Legge,1:46.247,26,58,5.327,0.075,110.798,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,27,GTD,14,VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,1:46.270,9,31,5.350,0.023,110.774,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,28,GTD,44,Magnus with Archangel,Acura NSX GT3,Andy Lally,1:46.323,8,41,5.403,0.053,110.718,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,29,GTD,28,Alegra Motorsports,Mercedes-AMG GT3,Michael de Quesada,1:46.524,12,29,5.604,0.201,110.510,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,30,GTD,27,Heart of Racing Team,Aston Martin Vantage GT3,Ian James,1:46.575,23,31,5.655,0.051,110.457,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,31,GTD,19,GRT Grasser Racing Team,Lamborghini Huracan GT3,Misha Goikhberg,1:46.685,7,26,5.765,0.110,110.343,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,32,GTD,32,Gilbert/Korthoff Motorsports,Mercedes-AMG GT3,Guy Cosmo,1:46.728,7,26,5.808,0.043,110.298,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,33,GTD,66,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,1:46.746,15,25,5.826,0.018,110.280,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,34,GTD,12,VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,1:46.883,12,35,5.963,0.137,110.138,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,35,GTD,88,Team Hardpoint,Porsche 911 GT3R,Rob Ferriol,1:47.442,21,27,6.522,0.559,109.565,06_Fastest Lap By Driver_Race.PDF,1
2021,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2021-10-09,202110091210_Race,36,GTD,44,Magnus with Archangel,Acura NSX GT3,John Potter,1:47.549,9,31,6.629,0.107,109.456,06_Fastest Lap By Driver_Race.PDF,1
