year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,01,DPi,Cadillac Chip Ganassi Racing,Cadillac,Renger van der Zande,Kevin Magnussen,,,,Cadillac Chip Ganassi Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Kevin Magnussen
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,1,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Tommy Milner,Nick Tandy,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Tommy Milner | 2.Nick Tandy
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,5,DPi,Mustang Sampling / JDC-Miller MotorSports,Cadillac,Tristan Vautier,Loic Duval,,,,Mustang Sampling / JDC-Miller Cadillac DPi | MotorSports DPi | 1.Tristan Vautier | 2.Loic Duval
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Gabriel Aubry,,,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Gabriel Aubry
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor | 2.Filipe Albuquerque
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,11,LMP2,WIN Autosport,ORECA 07,Steven Thomas,Tristan Nunez,,,,WIN Autosport ORECA LMP2 07 | LMP2 | 1.Steven Thomas | 2.Tristan Nunez
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Zach Veach,,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Zach Veach
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,14,GTD,Vasser Sullivan,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,19,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Misha Goikhberg,Franck Perera,,,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Misha Goikhberg | 2.Franck Perera
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Ross Gunn,,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Ross Gunn
