year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,1,DPi,55,Mazda Motorsports,Mazda DPi,Harry Tincknell,1:31.363,4,38,,,133.971,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,2,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Filipe Albuquerque,1:31.504,33,39,0.141,0.141,133.764,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,3,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:31.525,19,34,0.162,0.021,133.733,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,4,DPi,55,Mazda Motorsports,Mazda DPi,Oliver Jarvis,1:31.529,24,25,0.166,0.004,133.728,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,5,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:31.572,29,29,0.209,0.043,133.665,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,6,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Ricky Taylor,1:31.629,4,24,0.266,0.057,133.582,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,7,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Renger van der Zande,1:31.693,24,25,0.330,0.064,133.488,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,8,DPi,01,Cadillac Chip Ganassi Racing,Cadillac DPi,Kevin Magnussen,1:31.743,4,38,0.380,0.050,133.416,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,9,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Dane Cameron,1:32.064,33,39,0.701,0.321,132.951,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,10,DPi,60,Meyer Shank Racing w/Curb-Agajanian,Acura DPi,Olivier Pla,1:32.187,5,24,0.824,0.123,132.773,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,11,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Loic Duval,1:32.218,4,38,0.855,0.031,132.728,06_Fastest Lap By Driver_Race.PDF,1
2021,13_WeatherTech 240 - WGI,WeatherTech 240 - WGI,weathertech-240-wgi,2021-07-02,202107021810_Race,12,DPi,5,Mustang Sampling / JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:32.480,15,25,1.117,0.262,132.352,06_Fastest Lap By Driver_Race.PDF,1
