year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,Cadillac Racing | Cadillac DPi DPi,1,S. Bourdais,15:10:46.153,15:59:57.110,TRACK,49:10.957,49:10.957,49:10.957,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,Cadillac Racing | Cadillac DPi DPi,36,,15:59:57.110,16:00:52.122,PIT,55.012,55.012,55.012,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,Cadillac Racing | Cadillac DPi DPi,2,R. van der Zande,16:00:52.122,16:50:46.153,TRACK,49:54.031,49:54.031,49:54.031,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,1,M. Snow,15:10:46.153,15:46:52.918,TRACK,36:06.765,36:06.765,36:06.765,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,24,,15:46:52.918,15:47:41.894,PIT,48.976,48.976,48.976,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,2,B. Sellers,15:47:41.894,16:50:46.153,TRACK,1:03:04.259,1:03:04.259,1:03:04.259,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,02,Cadillac Racing | Cadillac DPi DPi,1,A. Lynn,15:10:46.153,16:00:18.185,TRACK,49:32.032,49:32.032,49:32.032,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,02,Cadillac Racing | Cadillac DPi DPi,36,,16:00:18.185,16:01:13.016,PIT,54.831,54.831,54.831,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,02,Cadillac Racing | Cadillac DPi DPi,2,E. Bamber,16:01:13.016,16:50:46.153,TRACK,49:33.137,49:33.137,49:33.137,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,JDC Miller MotorSports | Cadillac DPi DPi,1,T. Vautier,15:10:46.153,15:53:36.227,TRACK,42:50.074,42:50.074,42:50.074,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,JDC Miller MotorSports | Cadillac DPi DPi,31,,15:53:36.227,15:54:30.434,PIT,54.207,54.207,54.207,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,JDC Miller MotorSports | Cadillac DPi DPi,2,R. Westbrook,15:54:30.434,16:39:24.024,TRACK,44:53.590,44:53.590,44:53.590,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,JDC Miller MotorSports | Cadillac DPi DPi,64,R. Westbrook,16:39:24.024,16:39:57.309,PIT,33.285,44:53.590,45:26.875,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,JDC Miller MotorSports | Cadillac DPi DPi,3,R. Westbrook,16:39:57.309,16:50:46.153,TRACK,10:48.844,55:42.434,56:15.719,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,Konica Minolta Acura ARX-05 | Acura DPi DPi,1,R. Taylor,15:10:46.153,15:49:14.159,TRACK,38:28.006,38:28.006,38:28.006,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,Konica Minolta Acura ARX-05 | Acura DPi DPi,28,,15:49:14.159,15:50:02.232,PIT,48.073,48.073,48.073,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,Konica Minolta Acura ARX-05 | Acura DPi DPi,2,F. Albuquerque,15:50:02.232,16:13:17.670,TRACK,23:15.438,23:15.438,23:15.438,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,Konica Minolta Acura ARX-05 | Acura DPi DPi,45,F. Albuquerque,16:13:17.670,16:13:54.932,PIT,37.262,23:15.438,23:52.700,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,Konica Minolta Acura ARX-05 | Acura DPi DPi,3,F. Albuquerque,16:13:54.932,16:50:46.153,TRACK,36:51.221,1:00:06.659,1:00:43.921,20_Drive Time_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,VasserSullivan | Lexus RC F GT3 GTD,1,F. Montecalvo,15:10:46.153,15:47:02.020,TRACK,36:15.867,36:15.867,36:15.867,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,VasserSullivan | Lexus RC F GT3 GTD,24,,15:47:02.020,15:47:49.487,PIT,47.467,47.467,47.467,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,VasserSullivan | Lexus RC F GT3 GTD,2,A. Telitz,15:47:49.487,16:50:46.153,TRACK,1:02:56.666,1:02:56.666,1:02:56.666,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,1,R. Hardwick,15:10:46.153,15:46:07.163,TRACK,35:21.010,35:21.010,35:21.010,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,23,,15:46:07.163,15:46:57.452,PIT,50.289,50.289,50.289,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,Wright Motorsports | Porsche 911 GT3R GTD,2,J. Heylen,15:46:57.452,16:50:46.153,TRACK,1:03:48.701,1:03:48.701,1:03:48.701,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,VasserSullivan | Lexus RC F GT3 GTD,1,K. Kirkwood,15:10:46.153,15:49:51.076,TRACK,39:04.923,39:04.923,39:04.923,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,VasserSullivan | Lexus RC F GT3 GTD,26,,15:49:51.076,15:50:37.639,PIT,46.563,46.563,46.563,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,VasserSullivan | Lexus RC F GT3 GTD,2,B. Barnicoat,15:50:37.639,16:50:46.153,TRACK,1:00:08.514,1:00:08.514,1:00:08.514,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,Heart of Racing Team | Aston Martin Vantage GT3 GTD,1,R. De Angelis,15:10:46.153,15:48:21.220,TRACK,37:35.067,37:35.067,37:35.067,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,Heart of Racing Team | Aston Martin Vantage GT3 GTD,25,,15:48:21.220,15:49:11.970,PIT,50.750,50.750,50.750,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,Heart of Racing Team | Aston Martin Vantage GT3 GTD,2,R. Gunn,15:49:11.970,16:50:46.153,TRACK,1:01:34.183,1:01:34.183,1:01:34.183,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,Whelen Engineering Racing | Cadillac DPi DPi,1,O. Pla,15:10:46.153,15:24:50.422,TRACK,14:04.269,14:04.269,14:04.269,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,Whelen Engineering Racing | Cadillac DPi DPi,10,,15:24:50.422,15:25:35.449,PIT,45.027,45.027,45.027,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,Whelen Engineering Racing | Cadillac DPi DPi,2,P. Derani,15:25:35.449,16:06:07.253,TRACK,40:31.804,40:31.804,40:31.804,20_Drive Time_Race.PDF,2,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,Whelen Engineering Racing | Cadillac DPi DPi,40,P. Derani,16:06:07.253,16:06:58.274,PIT,51.021,40:31.804,41:22.825,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,Whelen Engineering Racing | Cadillac DPi DPi,3,P. Derani,16:06:58.274,16:50:46.153,TRACK,43:47.879,1:24:19.683,1:25:10.704,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,32,Team Korthoff Motorsports | Mercedes-AMG GT3 GTD,1,S. McAleer,15:10:46.153,15:47:05.095,TRACK,36:18.942,36:18.942,36:18.942,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,32,Team Korthoff Motorsports | Mercedes-AMG GT3 GTD,24,,15:47:05.095,15:47:55.421,PIT,50.326,50.326,50.326,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,32,Team Korthoff Motorsports | Mercedes-AMG GT3 GTD,2,M. Skeen,15:47:55.421,16:50:46.153,TRACK,1:02:50.732,1:02:50.732,1:02:50.732,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,39,CarBahn with Peregrine Racing | Lamborghini Huracan GT3 GTD,1,R. Megennis,15:10:46.153,15:47:11.300,TRACK,36:25.147,36:25.147,36:25.147,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,39,CarBahn with Peregrine Racing | Lamborghini Huracan GT3 GTD,24,,15:47:11.300,15:47:59.890,PIT,48.590,48.590,48.590,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,39,CarBahn with Peregrine Racing | Lamborghini Huracan GT3 GTD,2,J. Westphal,15:47:59.890,16:50:46.153,TRACK,1:02:46.263,1:02:46.263,1:02:46.263,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,51,Rick Ware Racing | Acura NSX GT3 GTD,1,A. Read,15:10:46.153,15:47:06.966,TRACK,36:20.813,36:20.813,36:20.813,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,51,Rick Ware Racing | Acura NSX GT3 GTD,24,,15:47:06.966,15:47:59.169,PIT,52.203,52.203,52.203,20_Drive Time_Race.PDF,3,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,51,Rick Ware Racing | Acura NSX GT3 GTD,2,R. Eversley,15:47:59.169,16:45:14.531,TRACK,57:15.362,57:15.362,57:15.362,20_Drive Time_Race.PDF,3,1
