year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,02,DPi,Cadillac Racing,Cadillac,Earl Bamber,Alex Lynn,,,,Cadillac Racing Cadillac DPi | DPi | 1.Earl Bamber | 2.Alex Lynn
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,DPi,JDC Miller MotorSports,Cadillac,Tristan Vautier,Richard Westbrook,,,,JDC Miller MotorSports Cadillac DPi | DPi | 1.Tristan Vautier | 2.Richard Westbrook
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor | 2.Filipe Albuquerque
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Jan Heylen,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Jan Heylen
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,GTD,VasserSullivan,Lexus RC F GT3,Ben Barnicoat,Kyle Kirkwood,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Ben Barnicoat | 2.Kyle Kirkwood
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Ross Gunn,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Ross Gunn
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,DPi,Whelen Engineering Racing,Cadillac,Olivier Pla,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Olivier Pla | 2.Pipo Derani
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Stevan McAleer
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,39,GTD,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,Robert Megennis,Jeff Westphal,,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis | 2.Jeff Westphal
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,51,GTD,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,Aidan Read,,,,Rick Ware Racing Acura NSX GT3 | GTD | 1.Ryan Eversley | 2.Aidan Read | 04-Jun-22 4:57 PM
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,60,DPi,Meyer Shank Racing W/Curb-Agajanian,Acura,Oliver Jarvis,Tom Blomqvist,,,,Meyer Shank Racing Acura DPi | W/Curb-Agajanian DPi | 1.Oliver Jarvis | 2.Tom Blomqvist
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
