year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:18.877,41,63,,,107.255,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,2,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Filipe Albuquerque,1:19.932,36,45,1.055,1.055,105.839,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,3,DPi,5,JDC Miller MotorSports,Cadillac DPi,Richard Westbrook,1:20.047,22,42,1.170,0.115,105.687,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,4,DPi,60,Meyer Shank Racing W/Curb-Agajanian,Acura DPi,Tom Blomqvist,1:20.055,27,36,1.178,0.008,105.677,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,DPi,10,Konica Minolta Acura ARX-05,Acura DPi,Ricky Taylor,1:20.138,27,28,1.261,0.083,105.567,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,6,DPi,5,JDC Miller MotorSports,Cadillac DPi,Tristan Vautier,1:20.180,27,31,1.303,0.042,105.512,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,7,DPi,02,Cadillac Racing,Cadillac DPi,Earl Bamber,1:20.180,13,37,1.303,0.000,105.512,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,8,DPi,02,Cadillac Racing,Cadillac DPi,Alex Lynn,1:20.259,27,36,1.382,0.079,105.408,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,9,DPi,01,Cadillac Racing,Cadillac DPi,Sebastien Bourdais,1:20.261,28,36,1.384,0.002,105.406,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,DPi,60,Meyer Shank Racing W/Curb-Agajanian,Acura DPi,Oliver Jarvis,1:20.411,30,37,1.534,0.150,105.209,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,11,DPi,01,Cadillac Racing,Cadillac DPi,Renger van der Zande,1:20.708,25,37,1.831,0.297,104.822,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,DPi,31,Whelen Engineering Racing,Cadillac DPi,Olivier Pla,1:22.149,8,10,3.272,1.441,102.983,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,13,GTD,12,VasserSullivan,Lexus RC F GT3,Aaron Telitz,1:28.335,39,43,9.458,6.186,95.771,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,14,GTD,1,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,1:28.401,38,43,9.524,0.066,95.700,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,15,GTD,27,Heart of Racing Team,Aston Martin Vantage GT3,Ross Gunn,1:28.462,34,42,9.585,0.061,95.634,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,GTD,32,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,1:28.516,35,43,9.639,0.054,95.575,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,GTD,17,VasserSullivan,Lexus RC F GT3,Ben Barnicoat,1:28.602,34,41,9.725,0.086,95.483,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,18,GTD,51,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,1:28.910,32,38,10.033,0.308,95.152,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,19,GTD,17,VasserSullivan,Lexus RC F GT3,Kyle Kirkwood,1:29.171,18,26,10.294,0.261,94.873,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,20,GTD,39,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,Jeff Westphal,1:29.176,36,43,10.299,0.005,94.868,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,21,GTD,1,Paul Miller Racing,BMW M4 GT3,Madison Snow,1:29.242,15,24,10.365,0.066,94.798,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,22,GTD,51,Rick Ware Racing,Acura NSX GT3,Aidan Read,1:29.282,13,24,10.405,0.040,94.755,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,23,GTD,27,Heart of Racing Team,Aston Martin Vantage GT3,Roman De Angelis,1:29.326,18,25,10.449,0.044,94.709,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,24,GTD,12,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,1:29.539,15,24,10.662,0.213,94.483,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,25,GTD,32,Team Korthoff Motorsports,Mercedes-AMG GT3,Stevan McAleer,1:29.791,15,24,10.914,0.252,94.218,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,26,GTD,96,Turner Motorsport,BMW M4 GT3,Bill Auberlen,1:29.791,7,30,10.914,0.000,94.218,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,GTD,16,Wright Motorsports,Porsche 911 GT3R,Jan Heylen,1:29.820,18,43,10.943,0.029,94.188,06_Fastest Lap By Driver_Race.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,28,GTD,39,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,Robert Megennis,1:29.960,13,24,11.083,0.140,94.041,06_Fastest Lap By Driver_Race.PDF,1
