year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,Cadillac Racing | Cadillac DPi DPi,1,15:59:57.110,S. Bourdais,16:00:52.122,R. van der Zande,55.012,55.012,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,1 S. Bourdais R. van der Zande 55.012 55.012 | Paul Miller Racing | BMW M4 GT3 GTD,1,15:46:52.918,M. Snow,15:47:41.894,B. Sellers,48.976,48.976,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,02,1 M. Snow B. Sellers 48.976 48.976 | Cadillac Racing | Cadillac DPi DPi,1,16:00:18.185,A. Lynn,16:01:13.016,E. Bamber,54.831,54.831,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,1 A. Lynn E. Bamber 54.831 54.831 | JDC Miller MotorSports | Cadillac DPi DPi,1,15:53:36.227,T. Vautier,15:54:30.434,R. Westbrook,54.207,54.207,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,1 A. Lynn E. Bamber 54.831 54.831 | JDC Miller MotorSports | Cadillac DPi DPi,2,16:39:24.024,R. Westbrook,16:39:57.309,R. Westbrook,33.285,1:27.492,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,2 R. Westbrook R. Westbrook 33.285 1:27.492 | Konica Minolta Acura ARX-05 | Acura DPi DPi,1,15:49:14.159,R. Taylor,15:50:02.232,F. Albuquerque,48.073,48.073,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,2 R. Westbrook R. Westbrook 33.285 1:27.492 | Konica Minolta Acura ARX-05 | Acura DPi DPi,2,16:13:17.670,F. Albuquerque,16:13:54.932,F. Albuquerque,37.262,1:25.335,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,2 F. Albuquerque F. Albuquerque 37.262 1:25.335 | VasserSullivan | Lexus RC F GT3 GTD,1,15:47:02.020,F. Montecalvo,15:47:49.487,A. Telitz,47.467,47.467,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,1 F. Montecalvo A. Telitz 47.467 47.467 | Wright Motorsports | Porsche 911 GT3R GTD,1,15:46:07.163,R. Hardwick,15:46:57.452,J. Heylen,50.289,50.289,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,17,1 R. Hardwick J. Heylen 50.289 50.289 | VasserSullivan | Lexus RC F GT3 GTD,1,15:49:51.076,K. Kirkwood,15:50:37.639,B. Barnicoat,46.563,46.563,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,27,1 K. Kirkwood B. Barnicoat 46.563 46.563 | Heart of Racing Team | Aston Martin Vantage GT3 GTD,1,15:48:21.220,R. De Angelis,15:49:11.970,R. Gunn,50.750,50.750,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,1 R. De Angelis R. Gunn 50.750 50.750 | Whelen Engineering Racing | Cadillac DPi DPi,1,15:24:50.422,O. Pla,15:25:35.449,P. Derani,45.027,45.027,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,31,1 R. De Angelis R. Gunn 50.750 50.750 | Whelen Engineering Racing | Cadillac DPi DPi,2,16:06:07.253,P. Derani,16:06:58.274,P. Derani,51.021,1:36.048,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,32,2 P. Derani P. Derani 51.021 1:36.048 | Team Korthoff Motorsports | Mercedes-AMG GT3 GTD,1,15:47:05.095,S. McAleer,15:47:55.421,M. Skeen,50.326,50.326,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,39,1 S. McAleer M. Skeen 50.326 50.326 | CarBahn with Peregrine Racing | Lamborghini Huracan GT3 GTD,1,15:47:11.300,R. Megennis,15:47:59.890,J. Westphal,48.590,48.590,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,51,1 R. Megennis J. Westphal 48.590 48.590 | Rick Ware Racing | Acura NSX GT3 GTD,1,15:47:06.966,A. Read,15:47:59.169,R. Eversley,52.203,52.203,20_Pit Stops Time Cards_Race.PDF,1,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,60,1 A. Read R. Eversley 52.203 52.203 | Meyer Shank Racing W/Curb-Agajanian | Acura DPi DPi,1,15:59:58.712,T. Blomqvist,16:00:53.240,O. Jarvis,54.528,54.528,20_Pit Stops Time Cards_Race.PDF,1,2
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,96,1 T. Blomqvist O. Jarvis 54.528 54.528 | Turner Motorsport | BMW M4 GT3 GTD,1,15:12:27.632,R. Foley,15:12:48.154,R. Foley,20.522,20.522,20_Pit Stops Time Cards_Race.PDF,1,2
