year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,1,1,01,DPi,,R. van der Zande / S. Bourdais,Cadillac Racing,Cadillac DPi,73,1:40:45.972,-,,,28,1:20.261,105.406,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,2,2,60,DPi,,O. Jarvis / T. Blomqvist,Meyer Shank Racing W/Curb-Agajanian,Acura DPi,73,1:40:46.370,0.398,0.398,,27,1:20.055,105.677,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,3,3,02,DPi,,E. Bamber / A. Lynn,Cadillac Racing,Cadillac DPi,73,1:40:46.755,0.783,0.385,,49,1:20.180,105.512,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,4,4,10,DPi,,R. Taylor / F. Albuquerque,Konica Minolta Acura ARX-05,Acura DPi,73,1:41:01.914,15.942,14.279,,64,1:19.932,105.839,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,5,5,5,DPi,,T. Vautier / R. Westbrook,JDC Miller MotorSports,Cadillac DPi,73,1:41:30.860,44.888,28.946,,53,1:20.047,105.687,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,6,6,31,DPi,,O. Pla / P. Derani,Whelen Engineering Racing,Cadillac DPi,73,1:40:47.635,1.663,0.880,,,,,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,7,1,17,GTD,,B. Barnicoat / K. Kirkwood,VasserSullivan,Lexus RC F GT3,67,1:40:59.369,6 Laps,6,,60,1:28.602,95.483,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,8,2,27,GTD,,R. De Angelis / R. Gunn,Heart of Racing Team,Aston Martin Vantage GT3,67,1:41:01.632,6 Laps,2.263,,59,1:28.462,95.634,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,9,3,1,GTD,,B. Sellers / M. Snow,Paul Miller Racing,BMW M4 GT3,67,1:41:05.181,6 Laps,3.549,,62,1:28.401,95.700,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,10,4,12,GTD,,F. Montecalvo / A. Telitz,VasserSullivan,Lexus RC F GT3,67,1:41:07.517,6 Laps,2.336,,63,1:28.335,95.771,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,11,5,32,GTD,,M. Skeen / S. McAleer,Team Korthoff Motorsports,Mercedes-AMG GT3,67,1:41:43.696,6 Laps,36.179,,59,1:28.516,95.575,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,12,6,39,GTD,,R. Megennis / J. Westphal,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,67,1:41:54.081,6 Laps,10.385,,60,1:29.176,94.868,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,13,7,16,GTD,,R. Hardwick / J. Heylen,Wright Motorsports,Porsche 911 GT3R,66,1:42:06.679,7 Laps,1,,41,1:29.820,94.188,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,14,8,96,GTD,,R. Foley / B. Auberlen,Turner Motorsport,BMW M4 GT3,65,1:41:39.568,8 Laps,1,,42,1:29.791,94.218,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,15,9,51,GTD,,R. Eversley / A. Read,Rick Ware Racing,Acura NSX GT3,62,1:34:28.378,11 Laps,3,Not Running,56,1:28.910,95.152,03_Results_Race_Official.PDF,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,16,10,57,GTD,,R. Ward / P. Ellis,Winward Racing,Mercedes-AMG GT3,17,25:59.157,56 Laps,45,Not Running,15,1:30.009,93.990,03_Results_Race_Official.PDF,1
