year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,1,2,Sebastien Bourdais,1:26.034,28.987,32.138,24.909,98.333,1:26.034,,,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,2,2,Sebastien Bourdais,1:25.758,27.949,32.827,24.982,98.649,2:51.792,85758,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,3,2,Sebastien Bourdais,1:24.426,27.768,31.782,24.876,100.206,4:16.218,84426,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,4,2,Sebastien Bourdais,1:23.963,27.711,31.538,24.714,100.758,5:40.181,83963,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,5,2,Sebastien Bourdais,1:22.726,27.294,31.023,24.409,102.265,7:02.907,82726,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,6,2,Sebastien Bourdais,1:22.626,27.035,31.227,24.364,102.389,8:25.533,82626,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,7,2,Sebastien Bourdais,1:22.074,26.992,30.946,24.136,103.077,9:47.607,82074,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,8,2,Sebastien Bourdais,1:21.963,26.805,30.893,24.265,103.217,11:09.570,81963,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,9,2,Sebastien Bourdais,1:22.407,27.372,30.771,24.264,102.661,12:31.977,82407,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,10,2,Sebastien Bourdais,1:22.937,27.038,31.677,24.222,102.005,13:54.914,82937,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,11,2,Sebastien Bourdais,1:22.696,27.068,31.213,24.415,102.302,15:17.610,82696,0,0,1
2022,10_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2022-06-04,202206041510_Race,01,12,2,Sebastien Bourdais,1:23.951,27.628,31.691,24.632,100.773,16:41.561,83951,0,0,1
