year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,1,60,1:08.021,0.000,0.000,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,2,10,1:08.797,0.776,0.776,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,3,5,1:09.751,1.730,1.730,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,4,02,1:10.420,2.399,2.399,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,5,01,1:10.849,2.828,2.828,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,6,31,1:11.384,3.363,3.363,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,7,74,1:18.699,10.678,10.678,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,8,30,1:19.119,11.098,11.098,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,9,54,1:20.313,12.292,12.292,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,10,13,1:21.001,12.980,12.980,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,11,36,1:21.176,13.155,13.155,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,12,9,1:22.063,14.042,14.042,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,13,23,1:22.811,14.790,14.790,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,14,3,1:23.441,15.420,15.420,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,15,27,1:23.890,15.869,15.869,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,16,14,1:24.350,16.329,16.329,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,17,1,1:24.592,16.571,16.571,,1,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,1,18,57,1:25.399,17.378,17.378,,1,1
