year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,1,GREEN FLAG,15:07:22.472,-,,8:06.914,486914,8:06.914,486914,1,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,2,FULL COURSE YELLOW,15:15:29.386,8:06.914,486914,6:35.443,395443,6:35.443,395443,8,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,3,GREEN FLAG,15:22:04.829,14:42.357,882357,1:01.971,61971,9:08.885,548885,10,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,4,FULL COURSE YELLOW,15:23:06.800,15:44.328,944328,9:58.492,598492,16:33.935,993935,11,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,5,GREEN FLAG,15:33:05.292,25:42.820,1542820,1:16:10.175,4570175,1:25:19.060,5119060,15,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,6,FULL COURSE YELLOW,16:49:15.467,1:41:52.995,6112995,12:52.058,772058,29:25.993,1765993,81,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,7,GREEN FLAG,17:02:07.525,1:54:45.053,6885053,19:53.407,1193407,1:45:12.467,6312467,86,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,8,FULL COURSE YELLOW,17:22:00.932,2:14:38.460,8078460,6:38.138,398138,36:04.131,2164131,104,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,9,GREEN FLAG,17:28:39.070,2:21:16.598,8476598,19:14.559,1154559,2:04:27.026,7467026,106,25_FlagsAnalysis_Race.PDF,1
2022,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2022-07-03,202207031505_Race,10,CHEQUERED FLAG,17:47:53.630,2:40:31.157,9631157,-,,-,,123,25_FlagsAnalysis_Race.PDF,1
