year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,1,GREEN FLAG,13:41:20.201,-,,48:03.931,2883931,48:03.931,2883931,1,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,2,FULL COURSE YELLOW,14:29:24.132,48:03.931,2883931,21:23.769,1283769,21:23.769,1283769,30,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,3,GREEN FLAG,14:50:47.901,1:09:27.700,4167700,1:44:09.254,6249254,2:32:13.185,9133185,35,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,4,FULL COURSE YELLOW,16:34:57.155,2:53:36.954,10416954,31:54.780,1914780,53:18.549,3198549,99,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,5,GREEN FLAG,17:06:51.935,3:25:31.734,12331734,6:57.258,417258,2:39:10.443,9550443,107,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,6,FULL COURSE YELLOW,17:13:49.193,3:32:28.992,12748992,24:00.012,1440012,1:17:18.561,4638561,112,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,7,GREEN FLAG,17:37:49.205,3:56:29.004,14189004,1:40:03.703,6003703,4:19:14.146,15554146,118,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,8,FULL COURSE YELLOW,19:17:52.908,5:36:32.707,20192707,20:11.228,1211228,1:37:29.789,5849789,178,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,9,GREEN FLAG,19:38:04.136,5:56:43.935,21403935,42:36.038,2556038,5:01:50.184,18110184,184,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,10,FULL COURSE YELLOW,20:20:40.174,6:39:19.973,23959973,27:03.529,1623529,2:04:33.318,7473318,210,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,11,GREEN FLAG,20:47:43.703,7:06:23.502,25583502,1:11:25.181,4285181,6:13:15.365,22395365,218,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,12,FULL COURSE YELLOW,21:59:08.884,8:17:48.683,29868683,25:09.094,1509094,2:29:42.412,8982412,261,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,13,GREEN FLAG,22:24:17.978,8:42:57.777,31377777,12:10.860,730860,6:25:26.225,23126225,269,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,14,FULL COURSE YELLOW,22:36:28.838,8:55:08.637,32108637,15:20.241,920241,2:45:02.653,9902653,277,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,15,GREEN FLAG,22:51:49.079,9:10:28.878,33028878,12:34.664,754664,6:38:00.889,23880889,281,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,16,FULL COURSE YELLOW,23:04:23.743,9:23:03.542,33783542,20:52.449,1252449,3:05:55.102,11155102,289,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,17,GREEN FLAG,23:25:16.192,9:43:55.991,35035991,44:39.738,2679738,7:22:40.627,26560627,295,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,18,FULL COURSE YELLOW,00:09:55.930,10:28:35.729,37715729,23:23.671,1403671,3:29:18.773,12558773,322,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,19,GREEN FLAG,00:33:19.601,10:51:59.400,39119400,7:51.130,471130,7:30:31.757,27031757,329,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,20,FULL COURSE YELLOW,00:41:10.731,10:59:50.530,39590530,6:42.678,402678,3:36:01.451,12961451,334,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,21,GREEN FLAG,00:47:53.409,11:06:33.208,39993208,31:41.880,1901880,8:02:13.637,28933637,336,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,22,FULL COURSE YELLOW,01:19:35.289,11:38:15.088,41895088,17:13.286,1033286,3:53:14.737,13994737,355,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,23,GREEN FLAG,01:36:48.575,11:55:28.374,42928374,55:28.927,3328927,8:57:42.564,32262564,360,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,24,FULL COURSE YELLOW,02:32:17.502,12:50:57.301,46257301,17:30.673,1050673,4:10:45.410,15045410,394,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,25,GREEN FLAG,02:49:48.175,13:08:27.974,47307974,1:47:43.025,6463025,10:45:25.589,38725589,399,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,26,FULL COURSE YELLOW,04:37:31.200,14:56:10.999,53770999,21:25.745,1285745,4:32:11.155,16331155,464,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,27,GREEN FLAG,04:58:56.945,15:17:36.744,55056744,49:06.008,2946008,11:34:31.597,41671597,470,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,28,FULL COURSE YELLOW,05:48:02.953,16:06:42.752,58002752,20:18.601,1218601,4:52:29.756,17549756,500,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,29,GREEN FLAG,06:08:21.554,16:27:01.353,59221353,18:52.633,1132633,11:53:24.230,42804230,506,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,30,FULL COURSE YELLOW,06:27:14.187,16:45:53.986,60353986,26:33.886,1593886,5:19:03.642,19143642,518,25_FlagsAnalysis_Race.PDF,1
2022,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2022-01-29,202201291340_Race,31,GREEN FLAG,06:53:48.073,17:12:27.872,61947872,4:53:08.856,17588856,16:46:33.086,60393086,526,25_FlagsAnalysis_Race.PDF,1
