year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,1,S. Bourdais,14:09:39,14:50:10,TRACK,40:31.808,40:31.808,40:31.808,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,,S. Bourdais,14:50:10,14:51:02,PIT,51.491,40:31.808,41:23.299,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,2,S. Bourdais,14:51:02,15:23:17,TRACK,32:14.794,1:12:46.602,1:13:38.093,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,,,15:23:17,15:24:04,PIT,47.624,,47.624,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,3,R. van der Zande,15:24:04,16:12:17,TRACK,48:12.879,48:12.879,48:12.879,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,,R. van der Zande,16:12:17,16:13:03,PIT,45.907,48:12.879,48:58.786,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,Cadillac Racing | Cadillac DPi DPi,4,R. van der Zande,16:13:03,16:49:39,TRACK,36:35.497,1:24:48.376,1:25:34.283,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,1,S. Bourdais 51.491 | Paul Miller Racing | BMW M4 GT3 GTD,1,M. Snow,14:09:39,15:14:15,TRACK,1:04:36.313,1:04:36.313,1:04:36.313,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,1,S. Bourdais 51.491 | Paul Miller Racing | BMW M4 GT3 GTD,,,15:14:15,15:15:22,PIT,1:06.963,,1:06.963,20_Drive Time_Race.PDF,1,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,1,S. Bourdais 51.491 | Paul Miller Racing | BMW M4 GT3 GTD,2,B. Sellers,15:15:22,15:33:02,TRACK,17:40.303,17:40.303,17:40.303,20_Drive Time_Race.PDF,1,1
