year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,02,DPi,Cadillac Racing,Cadillac,Earl Bamber,Alex Lynn,,,,Cadillac Racing Cadillac DPi | DPi | 1.Earl Bamber | 2.Alex Lynn
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,5,DPi,JDC Miller MotorSports,Cadillac,Tristan Vautier,Richard Westbrook,,,,JDC Miller MotorSports Cadillac DPi | DPi | 1.Tristan Vautier | 2.Richard Westbrook
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Will Stevens,,,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Will Stevens
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor | 2.Filipe Albuquerque
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,11,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Steven Thomas,Jonathan Bomarito,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Steven Thomas | 2.Jonathan Bomarito
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,13,LMP3,AWA,Duqueine D08,Orey Fidani,Kuno Wittmer,,,,AWA Duqueine D08 | LMP3 | 1.Orey Fidani | 2.Kuno Wittmer
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Jan Heylen,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Jan Heylen
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,17,GTD,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Richard Heistand,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.Richard Heistand
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman | 2.Ryan Dalziel
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,20,LMP2,High Class Racing,ORECA 07,Dennis Andersen,Anders Fjordbach,,,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen | 2.Anders Fjordbach
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Maxime Martin,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Maxime Martin
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,30,LMP3,Jr III Racing,Ligier JS P320,Ari Balogh,Garett Grist,,,,Jr III Racing Ligier JS P320 | LMP3 | 1.Ari Balogh | 2.Garett Grist
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,31,DPi,Whelen Engineering Racing,Cadillac,Pipo Derani,Tristan Nunez,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Pipo Derani | 2.Tristan Nunez
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Stevan McAleer
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,33,LMP3,Sean Creech Motorsport,Ligier JS P320,Joao Barbosa,Lance Willsey,,,,Sean Creech Motorsport Ligier JS P320 | LMP3 | 1.Joao Barbosa | 2.Lance Willsey
