year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,1,1,10,DPi,,R. Taylor / F. Albuquerque,Konica Minolta Acura ARX-05,Acura DPi,121,2:40:20.108,-,,,79,1:12.666,111.864,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,2,2,60,DPi,,O. Jarvis / T. Blomqvist,Meyer Shank Racing W/Curb-Agajanian,Acura DPi,121,2:40:22.206,2.098,2.098,,70,1:12.264,112.487,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,3,3,31,DPi,,P. Derani / T. Nunez,Whelen Engineering Racing,Cadillac DPi,121,2:40:37.018,16.910,14.812,,70,1:12.543,112.054,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,4,4,02,DPi,,E. Bamber / A. Lynn,Cadillac Racing,Cadillac DPi,121,2:40:57.024,36.916,20.006,,91,1:12.470,112.167,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,5,5,01,DPi,,R. van der Zande / S. Bourdais,Cadillac Racing,Cadillac DPi,121,2:40:57.212,37.104,0.188,,79,1:12.720,111.781,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,6,6,5,DPi,,T. Vautier / R. Westbrook,JDC Miller MotorSports,Cadillac DPi,121,2:41:22.409,1:02.301,25.197,,89,1:12.889,111.522,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,7,1,81,LMP2,,H. Hedman / J. Montoya,DragonSpeed USA,ORECA LMP2 07,118,2:40:58.760,3 Laps,3,,53,1:13.737,110.240,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,8,2,11,LMP2,,S. Thomas / J. Bomarito,PR1 Mathiasen Motorsports,ORECA LMP2 07,118,2:41:12.412,3 Laps,13.652,,95,1:13.982,109.875,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,9,3,20,LMP2,,D. Andersen / A. Fjordbach,High Class Racing,ORECA LMP2 07,118,2:41:30.101,3 Laps,17.689,,89,1:14.206,109.543,03_Results_Race_Official.PDF,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,10,4,8,LMP2,,J. Farano / W. Stevens,Tower Motorsport,ORECA LMP2 07,117,2:40:49.530,4 Laps,1,,77,1:13.725,110.258,03_Results_Race_Official.PDF,1
