year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,1,2,Sebastien Bourdais,1:52.720,23.467,50.753,38.500,72.114,1:52.720,,,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,2,2,Sebastien Bourdais,1:15.209,10.240,27.495,37.474,108.082,3:07.929,75209,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,3,2,Sebastien Bourdais,1:14.298,10.125,27.232,36.941,109.407,4:22.227,74298,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,4,2,Sebastien Bourdais,1:13.853,10.042,27.156,36.655,110.067,5:36.080,73853,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,5,2,Sebastien Bourdais,1:13.875,9.870,27.314,36.691,110.034,6:49.955,73875,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,6,2,Sebastien Bourdais,1:12.968,9.899,26.808,36.261,111.401,8:02.923,72968,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,7,2,Sebastien Bourdais,1:13.140,9.761,26.923,36.456,111.140,9:16.063,73140,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,8,2,Sebastien Bourdais,1:14.421,9.848,27.199,37.374,109.226,10:30.484,74421,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,9,2,Sebastien Bourdais,1:17.429,11.091,28.035,38.303,104.983,11:47.913,77429,0,0,1
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,10,2,Sebastien Bourdais,1:15.602,10.792,27.067,37.743,107.520,13:03.515,75602,0,0,1
