year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,68a8830e0a56569e7e5e6cc690918431ea24b418adad54794bc76bde2f8fe5df,216381,results,preferred,existing,reports-1,3,43,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,31efe0a5f9a23f86459bd8434cad6775addbec6b6f724b4b0a6d42921b5671f1,216376,results,alternate,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,31daa147c202e45c5fc65d0128e44d84316b80492caf19726b0c45f495292f33,149615,results,alternate,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,1bf5380717cf86465f9317ebe99bb46720bf363e14ba7dd5e09a883204114019,213105,,unsupported,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,b44af033eacbf58b35a82bd359ae2cd3375e3a83ec1de258361c595ec4b40804,213088,,unsupported,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,219f1cb755d8b9461d984dfbf321e6c3221857a5d6ed05df1695b4d8a43a04e0,145553,,unsupported,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,bd52a2269c108e9ba1227c71a4b1dae63fe9f1091e0b54957ab25fa07b395e62,126222,fastest_laps_by_driver,preferred,existing,reports-1,4,129,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,b0825eb314df72e673e3f3370ba9188f04518db854e744664ef108f97dc6dd87,112677,,unsupported,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,d23004d65d881e3d0ea081ce966b83970a3eec2632cec1546730fac8a577f7af,125372,,unsupported,existing,,,,
2022,19_Road Atlanta,Road Atlanta,road-atlanta,2022-10-01,202210011210_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/22_2022/19_Road%20Atlanta/01_IMSA%20WeatherTech%20SportsCar%20Championship/202210011210_Race/10_Hour%2010/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,749f42a007e4505abada8631e80a5ad68cc5382464c2e8e7d18071f5098f3d52,274030,,unsupported,existing,,,,
